result,fighter,opponent,date,weight_class,method,type,kd_dif,str_dif,td_dif,sub_dif,td_avg_dif,td_def_dif,sub_avg_dif,str_dif,slpm_dif,str_acc_dif,sapm_dif,str_def_dif,str_efc_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
win,Max Holloway,Arnold Allen,2023-04-15,Featherweight,U-DEC,Unanimous,0.004209787510434131,2.592348657776445,0.0031957046163765875,-0.008752130294404926,-0.4690708760172615,0.2776534299151701,0.0,2.592348657776445,2.382163313843189,0.5562898018057932,1.2227417735154702,-0.19468081383694125,-0.004540000000000001,-1.880897177516757,-0.6668136048656139,-5.55923178969643,1.001956516068944
win,Edson Barboza,Billy Quarantillo,2023-04-15,Featherweight,KO/TKO,Knee,1.3500788545962257,0.0530213629621726,0.0031957046163765875,-0.008752130294404926,-0.6316625650189321,0.5885608704767159,-1.0999999999999999,0.0530213629621726,-2.4351354398314453,-1.1793157666044374,-1.048464410263259,1.5462829954964872,0.00814,0.23225199010944048,-0.29558748868907925,-0.547693408402927,2.022101414754426
win,Azamat Murzakanov,Dustin Jacoby,2023-04-15,Light Heavyweight,U-DEC,Unanimous,1.3500788545962257,0.08982320781455337,0.0031957046163765875,-0.008752130294404926,0.19811570988614577,0.795832497517746,0.0,0.08982320781455337,-0.5596506385961384,0.8042334544358265,-0.5689875492433053,-0.10763262337026974,0.003989999999999999,1.1593393261852534,0.4963615591541944,0.5659817874400735,-1.0383332813020205
lose,Tanner Boser,Ion Cutelaba,2023-04-15,Light Heavyweight,KO/TKO,Punches,0.004209787510434131,-0.9406284480521081,-0.3897530514819292,-0.008752130294404926,-2.6612553725570276,-0.5514330782489513,0.0,-0.9406284480521081,-0.302477137423404,0.6389376860158047,-0.5122073946488368,1.023993852696459,0.00166,-1.880897177516757,0.1251354429776599,0.009144189518573277,-2.0584781799875027
win,Pedro Munhoz,Chris Gutierrez,2023-04-15,Bantamweight,U-DEC,Unanimous,1.3500788545962257,-0.646213689233062,0.0031957046163765875,-0.008752130294404926,0.07477029064349905,0.24310815874166541,0.5,-0.646213689233062,0.33104782888016104,-1.2619636508144485,1.9861194075077655,-0.6299217661702989,-0.0029200000000000007,0.23225199010944048,-1.1617817597676598,-3.3318813980104287,2.022101414754426
win,Rafa Garcia,Clay Guida,2023-04-15,Lightweight,U-DEC,Unanimous,0.004209787510434131,2.8499615717431106,0.0031957046163765875,-0.008752130294404926,0.2541818095418941,0.3467439722621807,-0.3,2.8499615717431106,0.9645727951837265,0.7215855702258154,0.7621916306936722,-0.020584432903598227,-0.004,0.23225199010944048,-0.048103411238056254,0.009144189518573277,-0.018188382616538157
lose,TJ Brown,Bill Algeo,2023-04-15,Featherweight,SUB,Rear Naked Choke,-1.3416592795753575,-0.6830155340854428,0.0031957046163765875,-0.8696924549470987,1.493242611933936,-0.6550688917694666,1.4,-0.6830155340854428,-1.4566216304912851,-0.6834284613443717,-0.7393280130267099,0.15351194802974436,0.0,1.6072006855188559,-0.2460906731988746,0.5659817874400735,-1.0383332813020205
lose,Matheus Nicolau,Brandon Royval,2023-04-15,Flyweight,KO/TKO,Knee,-1.3416592795753575,-0.4254026201187774,0.0031957046163765875,-0.008752130294404926,0.4616263782681637,1.866735903896403,-1.4,-0.4254026201187774,0.11778199863935701,1.2174728754858817,0.32687711213608256,1.3721866145631452,0.00464,-1.880897177516757,0.47161315140909205,1.1228193853615738,-0.018188382616538157
lose,Ed Herman,Zak Cummings,2023-04-15,Light Heavyweight,KO/TKO,Punches,-4.033397413746941,-1.7134671899521041,0.0031957046163765875,-0.008752130294404926,0.7531700964780559,-0.24052563768740584,0.4,-1.7134671899521041,0.2055973405032176,1.0521771070658597,0.509835388051591,-1.1522109089703276,-0.005379999999999999,-1.880897177516757,-0.3203358964341816,-0.547693408402927,1.001956516068944
win,Gillian Robertson,Piera Rodriguez,2023-04-15,Women's Strawweight,SUB,Armbar,0.004209787510434131,0.49464350119074174,0.39614446071468234,0.8521881943582889,-0.37936511656806393,-1.4150648575865776,1.0,0.49464350119074174,-0.7290087979050124,0.22569826496574932,-0.10212850035545522,-0.6299217661702979,0.0,0.23225199010944048,-1.1122849442774552,-0.547693408402927,-0.018188382616538157
