name,wins,losses,draws,height,weight,reach,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,url
Darrell Horcher,13,4,0,177.8,69.75,177.8,Southpaw,36,2.05,0.44,4.21,0.39,0.35,0.5,0.47,0.7,04-18-2023,11-30-2018,http://ufcstats.com/fighter-details/18e8b7070228e728
Demetrious Johnson,27,3,1,160.02,56.25,167.64000000000001,Orthodox,37,3.43,0.54,1.66,0.67,3.35,0.56,0.65,0.5,04-18-2023,08-04-2018,http://ufcstats.com/fighter-details/8a304bfd6bf04a57
Ryan Jimmo,19,5,0,185.42,92.25,185.42000000000002,Orthodox,42,3.12,0.66,2.77,0.46,0.45,0.28,0.87,0.0,04-18-2023,05-30-2015,http://ufcstats.com/fighter-details/bc3ec52ef70fc155
Wendell Oliveira Marques,29,10,0,177.8,76.5,182.27,Orthodox,40,3.77,0.47,4.4,0.47,0.0,0.0,1.0,0.0,04-18-2023,05-30-2015,http://ufcstats.com/fighter-details/32c03df3c9760069
Luiz Dutra,13,6,1,180.34,76.5,184.88,Orthodox,41,3.92,0.5,4.8,0.41,0.0,0.0,1.0,0.0,04-18-2023,05-30-2015,http://ufcstats.com/fighter-details/2153a7f8396a46cc
Josh Sampo,11,5,0,162.56,56.25,162.56,Orthodox,39,1.99,0.36,2.96,0.55,1.06,0.33,0.4,2.1,04-18-2023,05-23-2015,http://ufcstats.com/fighter-details/f65dcb22dada2223
Constantinos Philippou,13,5,0 (1 NC),180.34,83.25,185.42000000000002,Orthodox,44,2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/05560764359161e4
Mark Munoz,14,6,0,182.88,83.25,180.34,Orthodox,45,3.12,0.51,2.26,0.57,3.17,0.29,0.57,0.6,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/179f1948dc234f1f
Luke Barnatt,13,4,0,198.12,83.25,195.58,Orthodox,35,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/172c2135e70f87b7
Zhang Lipeng,23,9,1,180.34,69.75,180.34,Southpaw,33,1.28,0.48,1.88,0.53,1.75,0.3,0.69,0.8,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/7b310409440c9102
Royston Wee,4,1,0,170.18,60.75,170.18,Orthodox,37,1.1,0.6,2.45,0.49,3.38,0.81,0.0,0.0,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/b9c03e7a4557e542
Roldan Sangcha'an,4,2,0,162.56,56.25,166.65,Orthodox,33,2.71,0.46,2.15,0.51,1.94,0.6,0.68,0.0,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/57887765f831e228
Nolan Ticman,4,3,0,167.64,56.25,171.86,Orthodox,35,2.57,0.47,2.53,0.67,0.0,0.0,0.6,0.0,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/9eb069062a0cfc13
Hatsu Hioki,29,10,2,180.34,65.25,185.42000000000002,Orthodox,40,2.42,0.42,2.12,0.65,2.55,0.56,0.54,0.6,04-18-2023,05-09-2015,http://ufcstats.com/fighter-details/ef7fa30364cbe7f2
