result,fighter,opponent,f_kd,o_kd,f_str,o_str,f_td,o_td,f_sub,o_sub,weight_class,method,type,round,time,date,f_win_perc,o_win_perc,f_str_efc,o_str_efc,f_win_strk,o_win_strk,f_lose_strk,o_lose_strk,f_wins,f_losses,f_draws,f_height,f_weight,f_reach,f_stance,f_age,f_slpm,f_str_acc,f_sapm,f_str_def,f_td_avg,f_td_acc,f_td_def,f_sub_avg,f_last_match,o_wins,o_losses,o_draws,o_height,o_weight,o_reach,o_stance,o_age,o_slpm,o_str_acc,o_sapm,o_str_def,o_td_avg,o_td_acc,o_td_def,o_sub_avg,o_last_match
win,Max Holloway,Arnold Allen,0,0,147,76,0,0,0,0,Featherweight,U-DEC,Unanimous,5,5:00,2023-04-15,0.73,1.0,0.0027,0.0072,0,10,1,0,24,7,0,180.34,65.25,175.26,Orthodox,32,7.16,0.47,4.79,0.59,0.28,0.53,0.84,0.3,04-15-2023,19,2,0,172.72,65.25,177.8,Southpaw,29,3.34,0.4,2.86,0.61,1.12,0.5,0.76,0.3,04-15-2023
win,Edson Barboza,Billy Quarantillo,1,0,21,19,0,0,0,0,Featherweight,KO/TKO,Knee,1,2:37,2023-04-15,0.59,0.71,0.0113,0.0031,0,1,2,0,23,11,0,180.34,65.25,190.5,Orthodox,37,4.0,0.44,4.12,0.58,0.38,0.44,0.75,0.1,04-15-2023,17,5,0,177.8,65.25,177.8,Orthodox,35,7.86,0.58,5.79,0.4,1.51,0.23,0.58,1.2,04-15-2023
win,Azamat Murzakanov,Dustin Jacoby,1,0,67,64,1,1,0,0,Light Heavyweight,U-DEC,Unanimous,3,5:00,2023-04-15,1.0,0.8,0.0127,0.0087,1,0,0,1,13,0,0,177.8,92.25,180.34,Southpaw,34,4.57,0.57,3.12,0.57,0.75,0.16,0.83,0.0,04-15-2023,18,7,1,190.5,92.25,193.04,Orthodox,35,5.44,0.47,4.03,0.58,0.4,0.25,0.6,0.0,04-15-2023
win,Ion Cutelaba,Tanner Boser,0,0,30,5,1,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:05,2023-04-15,0.38,0.43,0.0051,0.0067,0,0,3,1,17,9,1 (1 NC),185.42,92.25,190.5,Southpaw,30,4.63,0.43,3.29,0.48,4.75,0.58,0.77,0.0,04-15-2023,20,10,1,187.96,92.25,190.5,Orthodox,32,4.17,0.51,2.47,0.6,0.0,0.0,0.61,0.0,04-15-2023
win,Pedro Munhoz,Chris Gutierrez,1,0,60,77,0,0,0,0,Bantamweight,U-DEC,Unanimous,3,5:00,2023-04-15,0.53,1.0,0.0061,0.009,0,6,2,0,20,7,0 (2 NC),167.64,60.75,165.1,Orthodox,37,5.3,0.43,5.9,0.57,0.51,0.2,0.81,0.6,04-15-2023,19,4,2,175.26,60.75,170.18,Orthodox,32,4.75,0.58,2.76,0.64,0.38,0.37,0.74,0.1,04-15-2023
win,Rafa Garcia,Clay Guida,0,0,141,63,0,0,0,0,Lightweight,U-DEC,Unanimous,3,5:00,2023-04-15,0.5,0.52,0.0,0.004,1,1,0,0,16,3,0,170.18,69.75,177.8,Orthodox,29,4.19,0.42,4.21,0.61,3.61,0.44,0.79,0.3,04-15-2023,38,20,0,170.18,69.75,177.8,Orthodox,42,2.63,0.33,3.01,0.61,3.16,0.36,0.69,0.6,04-15-2023
win,Bill Algeo,TJ Brown,1,0,64,46,1,1,1,0,Featherweight,SUB,Rear Naked Choke,2,1:40,2023-04-15,0.5,0.4,0.0,0.0,0,1,1,0,17,7,0,182.88,65.25,185.42000000000002,Switch,34,5.93,0.53,4.32,0.46,0.87,0.42,0.55,0.1,04-15-2023,17,10,0,175.26,65.25,182.88,Switch,33,3.63,0.45,3.14,0.48,3.53,0.55,0.36,1.5,04-15-2023
win,Brandon Royval,Matheus Nicolau,1,0,13,2,0,0,0,0,Flyweight,KO/TKO,Knee,1,2:09,2023-04-15,0.67,0.86,0.014,0.0186,2,4,0,0,15,6,0,175.26,56.25,172.72,Southpaw,31,3.45,0.38,2.63,0.5,0.66,1.0,0.39,2.3,04-15-2023,19,4,1,167.64,56.25,167.64000000000001,Orthodox,30,3.66,0.53,3.14,0.66,1.48,0.45,0.93,0.9,04-15-2023
win,Zak Cummings,Ed Herman,3,0,100,54,0,0,0,0,Light Heavyweight,KO/TKO,Punches,3,4:13,2023-04-15,0.67,0.54,0.0105,0.0052,1,0,0,1,25,7,0,182.88,92.25,190.5,Southpaw,39,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6,04-15-2023,27,16,0 (1 NC),185.42,92.25,195.58,Orthodox,43,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0,04-15-2023
win,Gillian Robertson,Piera Rodriguez,0,0,26,12,2,1,1,0,Women's Strawweight,SUB,Armbar,2,4:21,2023-04-15,0.55,1.0,0.0,0.0,1,2,0,0,12,7,0,165.1,51.75,160.02,Orthodox,28,2.32,0.49,2.81,0.5,2.63,0.42,0.25,1.0,,9,1,0,160.02,51.75,160.02,Orthodox,31,3.46,0.46,2.98,0.57,3.31,0.41,0.66,0.0,04-15-2023
win,Daniel Zellhuber,Lando Vannata,1,0,78,51,0,0,0,0,Lightweight,U-DEC,Unanimous,3,5:00,2023-04-15,0,0.4,0.0,0.0043,0,0,1,1,13,1,0,185.42,69.75,195.58,Switch,24,5.44,0.4,4.84,0.53,0.33,0.33,0.91,0.0,04-15-2023,12,7,2,175.26,69.75,180.34,Orthodox,31,4.52,0.45,4.76,0.55,1.09,0.37,0.69,0.3,04-15-2023
win,Denise Gomes,Bruna Brasil,1,0,54,15,3,0,0,0,Women's Strawweight,KO/TKO,Punches,2,2:42,2023-04-15,0,0,0.0,0,0,0,1,0,7,2,0,157.48,51.75,160.02,Orthodox,24,4.67,0.47,3.13,0.55,1.19,0.33,0.5,1.2,,8,3,1,167.64,51.75,165.1,Orthodox,30,3.19,0.77,4.23,0.42,1.74,0.66,0.45,0.0,
win,Gaston Bolanos,Aaron Phillips,0,0,63,17,0,3,0,1,Bantamweight,U-DEC,Unanimous,3,5:00,2023-04-15,0,0,0,0.0,0,0,0,2,7,3,0,170.18,60.75,175.26,Orthodox,31,4.2,0.49,1.13,0.56,0.0,0.0,0.4,0.0,04-15-2023,12,5,0,175.26,60.75,180.34,Southpaw,34,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,04-15-2023
win,Israel Adesanya,Alex Pereira,1,0,41,49,0,0,0,0,Middleweight,KO/TKO,Punch,2,4:21,2023-04-08,0.86,1.0,0.0118,0.0085,0,4,1,0,24,2,0,193.04,83.25,203.2,Switch,34,3.94,0.49,2.88,0.57,0.06,0.14,0.77,0.2,04-08-2023,7,2,0,193.04,92.25,200.66,Orthodox,36,5.23,0.59,3.76,0.54,0.28,1.0,0.73,0.0,
win,Gilbert Burns,Jorge Masvidal,0,0,42,39,4,0,0,0,Welterweight,U-DEC,Unanimous,3,5:00,2023-04-08,0.72,0.57,0.0043,0.008,1,0,0,3,22,6,0,177.8,76.5,180.34,Orthodox,37,3.36,0.48,3.34,0.54,1.95,0.35,0.47,0.5,05-06-2023,35,17,0,180.34,76.5,187.96,Orthodox,39,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3,04-08-2023
win,Rob Font,Adrian Yanez,1,0,33,25,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:57,2023-04-08,0.64,1.0,0.0054,0.0195,0,5,2,0,20,6,0,172.72,60.75,180.34,Orthodox,36,6.46,0.46,4.03,0.56,1.01,0.36,0.55,0.4,04-08-2023,16,4,0,170.18,60.75,177.8,Orthodox,30,6.75,0.4,5.89,0.59,0.0,0.0,1.0,0.0,04-08-2023
win,Kevin Holland,Santiago Ponzinibbio,1,0,66,44,0,0,0,0,Welterweight,KO/TKO,Punch,3,3:16,2023-04-08,0.62,0.69,0.0055,0.0115,0,1,2,0,24,9,0 (1 NC),190.5,76.5,205.74,Orthodox,31,4.12,0.52,2.98,0.52,0.84,0.41,0.5,0.5,,30,7,0,182.88,76.5,185.42000000000002,Orthodox,37,4.9,0.41,4.67,0.61,0.48,0.3,0.6,0.0,04-08-2023
win,Christian Rodriguez,Raul Rosas Jr.,0,0,29,2,1,3,0,1,Bantamweight,U-DEC,Unanimous,3,5:00,2023-04-08,0,1.0,0.0,0.0,0,1,1,0,9,1,0,170.18,60.75,180.34,Orthodox,26,2.89,0.43,1.73,0.59,0.92,0.6,0.66,1.2,04-08-2023,7,1,0,175.26,60.75,170.18,Switch,19,0.76,0.37,1.37,0.4,3.67,0.33,0.0,1.8,04-08-2023
win,Kelvin Gastelum,Chris Curtis,0,0,83,70,0,0,0,0,Middleweight,U-DEC,Unanimous,3,5:00,2023-04-08,0.58,0.8,0.0075,0.0111,0,1,2,0,18,8,0 (1 NC),175.26,83.25,180.34,Southpaw,32,3.63,0.41,3.31,0.58,1.0,0.3,0.62,0.1,04-08-2023,30,10,0 (1 NC),177.8,83.25,190.5,Orthodox,36,5.36,0.5,6.3,0.54,0.0,0.0,0.92,0.0,06-10-2023
win,Luana Pinheiro,Michelle Waterson-Gomez,0,0,44,61,0,1,0,0,Women's Strawweight,S-DEC,Split,3,5:00,2023-04-08,1.0,0.5,0.0,0.0,1,0,0,2,11,1,0,157.48,51.75,157.48,Orthodox,31,3.86,0.39,3.67,0.63,2.83,0.5,0.5,0.4,04-08-2023,18,11,0,160.02,51.75,157.48,Orthodox,37,3.63,0.46,4.01,0.51,1.4,0.33,0.72,0.7,04-08-2023
win,Joe Pyfer,Gerald Meerschaert,0,0,14,10,0,0,0,0,Middleweight,KO/TKO,Punches,1,3:15,2023-04-08,1.0,0.53,0.0714,0.008,1,1,0,0,11,2,0,187.96,83.25,190.5,Orthodox,27,3.63,0.46,2.64,0.54,1.65,1.0,0.5,0.8,04-08-2023,35,16,0,185.42,83.25,195.58,Southpaw,36,3.11,0.43,3.47,0.52,2.12,0.37,0.29,1.7,04-08-2023
win,Loopy Godinez,Cynthia Calvillo,0,0,87,104,0,1,0,0,Women's Strawweight,S-DEC,Split,3,5:00,2023-04-08,0.5,0.55,0.0,0.0,0,0,1,4,10,3,0,157.48,51.75,154.94,Orthodox,30,4.16,0.49,3.77,0.62,3.43,0.43,0.81,0.6,05-20-2023,9,6,1,162.56,56.25,162.56,Orthodox,36,4.41,0.38,4.12,0.64,1.8,0.44,0.77,0.8,04-08-2023
win,Ignacio Bahamondes,Trey Ogden,0,0,99,42,0,0,0,0,Catch Weight,U-DEC,Unanimous,3,5:00,2023-04-08,0.67,0.5,0.0029,0.0,2,1,0,0,14,4,0,190.5,69.75,190.5,Orthodox,26,7.93,0.48,4.51,0.58,0.0,0.0,0.95,0.5,04-08-2023,16,6,0,180.34,69.75,182.88,Orthodox,34,3.42,0.41,4.89,0.54,0.67,0.14,1.0,0.7,04-08-2023
win,Steve Garcia,Shayilan Nuerdanbieke,1,1,17,18,0,1,0,0,Featherweight,KO/TKO,Punch,2,0:36,2023-04-08,0.33,0.75,0.0526,0.02,1,3,0,0,14,5,0,182.88,65.25,190.5,Southpaw,31,4.85,0.56,2.61,0.46,1.51,0.44,0.94,0.4,04-08-2023,39,11,0,172.72,65.25,175.26,Orthodox,29,2.28,0.45,2.94,0.5,2.9,0.33,0.4,0.0,04-08-2023
win,Cory Sandhagen,Marlon Vera,0,0,128,58,3,0,0,1,Bantamweight,S-DEC,Split,5,5:00,2023-03-25,0.7,0.72,0.0043,0.0113,1,4,0,0,16,4,0,180.34,60.75,177.8,Switch,31,5.98,0.44,3.9,0.57,0.89,0.21,0.64,0.3,03-25-2023,20,8,1,172.72,60.75,177.8,Switch,31,4.09,0.49,5.02,0.51,0.61,0.4,0.69,1.0,03-25-2023
win,Holly Holm,Yana Santos,0,0,32,21,4,0,0,0,Women's Bantamweight,U-DEC,Unanimous,3,5:00,2023-03-25,0.54,0.57,0.0027,0.0,0,0,1,1,15,6,0,172.72,60.75,175.26,Southpaw,42,3.17,0.4,2.77,0.56,0.92,0.31,0.78,0.1,,14,7,0 (1 NC),167.64,60.75,172.72,Orthodox,34,3.82,0.55,2.81,0.5,1.28,0.53,0.45,0.2,
win,Nate Landwehr,Austin Lingo,0,0,64,48,1,0,1,0,Featherweight,SUB,Rear Naked Choke,2,4:11,2023-03-25,0.75,1.0,0.0,0.0137,2,1,0,0,17,5,0,175.26,65.25,182.88,Orthodox,35,6.14,0.46,5.58,0.55,1.07,0.41,0.86,1.1,06-10-2023,9,2,0,177.8,65.25,177.8,Orthodox,29,4.21,0.4,4.36,0.58,0.55,0.66,0.78,0.0,
win,Maycee Barber,Andrea Lee,0,0,48,39,2,5,0,0,Women's Flyweight,S-DEC,Split,3,5:00,2023-03-25,0.75,0.56,0.0,0.0015,3,0,0,1,12,2,0,165.1,56.25,165.1,Switch,25,4.27,0.51,2.63,0.54,1.23,0.37,0.47,0.1,,13,7,0,167.64,56.25,175.26,Orthodox,34,5.13,0.48,3.59,0.64,2.04,0.57,0.54,0.6,03-25-2023
win,Albert Duraev,Chidi Njokuani,0,0,45,40,2,0,0,0,Middleweight,S-DEC,Split,3,5:00,2023-03-25,0.5,0.67,0.0,0.029,0,0,1,1,16,4,0,180.34,83.25,190.5,Orthodox,34,2.94,0.4,2.53,0.63,2.07,0.27,0.5,0.7,,22,9,0 (1 NC),190.5,83.25,203.2,Orthodox,35,3.82,0.62,2.62,0.56,0.0,0.0,0.7,0.3,03-25-2023
win,Daniel Pineda,Tucker Lutz,1,0,24,28,1,0,2,0,Featherweight,SUB,Guillotine Choke,2,2:50,2023-03-25,0.5,0.5,0.0056,0.0,0,0,1,1,28,15,0 (3 NC),170.18,65.25,175.26,Orthodox,38,3.09,0.49,3.18,0.46,1.71,0.25,0.48,1.7,06-03-2023,12,3,0,172.72,65.25,182.88,Orthodox,29,4.04,0.49,3.02,0.45,1.77,0.5,0.69,0.2,03-25-2023
win,Lucas Alexander,Steven Peterson,1,0,85,26,0,0,0,0,Featherweight,U-DEC,Unanimous,3,5:00,2023-03-25,0,0.43,0.0,0.002,0,0,1,1,8,3,0,180.34,65.25,185.42000000000002,Orthodox,28,5.05,0.53,1.76,0.72,0.0,0.0,0.66,0.0,03-25-2023,19,11,0,177.8,65.25,177.8,Orthodox,33,4.76,0.4,5.94,0.53,1.42,0.26,0.64,0.7,03-25-2023
win,Trevin Giles,Preston Parsons,0,0,55,42,0,3,0,3,Welterweight,S-DEC,Split,3,5:00,2023-03-25,0.5,0.5,0.0092,0.0,1,1,0,0,16,4,0,182.88,76.5,187.96,Orthodox,31,2.99,0.54,2.09,0.59,1.29,0.55,0.73,0.3,,10,4,0,180.34,76.5,180.34,Orthodox,28,4.14,0.56,3.76,0.49,3.11,0.33,1.0,3.5,03-25-2023
win,CJ Vergara,Daniel Lacerda,0,2,83,48,0,1,1,2,Flyweight,KO/TKO,Elbows,2,4:04,2023-03-25,0.5,0,0.0,0.0,0,0,1,2,11,4,1,167.64,56.25,172.72,Orthodox,32,5.63,0.56,4.75,0.53,0.0,0.0,0.72,0.3,,11,5,0,167.64,56.25,177.8,Switch,27,4.75,0.48,9.76,0.34,1.52,0.4,0.0,1.5,03-25-2023
win,Leon Edwards,Kamaru Usman,0,0,120,87,0,4,0,0,Welterweight,M-DEC,Majority,5,5:00,2023-03-18,0.86,0.94,0.0084,0.008,10,0,0,1,21,3,0 (1 NC),187.96,76.5,187.96,Southpaw,32,2.8,0.53,2.4,0.53,1.26,0.33,0.69,0.3,03-18-2023,20,3,0,182.88,76.5,193.04,Switch,36,4.46,0.52,2.75,0.54,2.96,0.45,0.97,0.1,03-18-2023
win,Justin Gaethje,Rafael Fiziev,0,0,103,97,1,0,0,0,Lightweight,M-DEC,Majority,3,5:00,2023-03-18,0.6,1.0,0.007,0.005,0,6,1,0,24,4,0,180.34,69.75,177.8,Orthodox,35,7.38,0.6,7.66,0.53,0.13,0.25,0.75,0.0,,12,2,0,172.72,69.75,180.34,Switch,30,5.06,0.51,5.17,0.48,0.31,0.4,0.9,0.0,03-18-2023
win,Gunnar Nelson,Bryan Barberena,0,0,10,7,1,0,1,0,Welterweight,SUB,Armbar,1,4:51,2023-03-18,0.64,0.56,0.0037,0.0052,1,0,0,1,19,5,1,180.34,76.5,182.88,Switch,35,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0,03-18-2023,18,10,0,182.88,76.5,182.88,Southpaw,34,5.81,0.48,4.83,0.44,0.15,0.25,0.54,0.3,
win,Jennifer Maia,Casey O'Neill,0,0,145,137,0,0,0,0,Women's Flyweight,U-DEC,Unanimous,3,5:00,2023-03-18,0.5,1.0,0.0,0.0,1,3,0,0,21,9,1,162.56,56.25,162.56,Orthodox,35,4.5,0.38,4.78,0.55,0.27,0.21,0.57,0.1,03-18-2023,9,1,0,167.64,56.25,175.26,Orthodox,26,8.77,0.55,5.9,0.58,1.96,0.42,0.71,0.7,03-18-2023
