,set,date,fighter,opponent,kd_dif,str_dif,td_dif,sub_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,result,result_pred
0,validation,2022-09-03,Ciryl Gane,Tai Tuivasa,0.0070431212440949,3.063019729460726,-0.0068029365944702,0.0001258851697796,-1.776059615341257,0.3787170788364745,-2.87005116609334,1.0830527094435254,win,win
1,validation,2022-09-03,Marvin Vettori,Robert Whittaker,0.0070431212440949,-1.5293763558291231,-0.4015491970891212,0.0001258851697796,1.4881221995019178,-0.1323127728446381,0.5620785980262154,-1.071529169458313,lose,lose
2,test,2022-09-03,Joaquin Buckley,Nassourdine Imavov,0.0070431212440949,-0.1742430847599872,-0.7962954575837721,-1.6945402704032262,1.4881221995019178,-0.1067612802605825,0.5620785980262154,0.0057617699926063,lose,lose
3,validation,2022-09-03,Alessio Di Chirico,Roman Kopylov,-1.3474497100131326,-0.7388819477054606,-0.0068029365944702,0.0001258851697796,-1.776059615341257,1.0175043934378651,-0.0099430293270437,-1.071529169458313,lose,lose
4,test,2022-09-03,Jarno Errens,William Gomis,0.0070431212440949,-0.4377412208012081,-1.191041718078423,0.8474589629562826,-1.776059615341257,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
5,train,2022-09-03,Nathaniel Wood,Charles Jourdain,0.0070431212440949,0.4280383690485176,1.5721821053841334,0.0001258851697796,0.0764319370450979,0.5320260343408082,0.5620785980262154,-1.071529169458313,win,win
6,train,2022-09-03,Abus Magomedov,Dustin Stoltzfus,1.3615359525013224,0.2774680055963914,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.6433426245257506,-0.5819646566803028,0.0057617699926063,win,win
7,train,2022-09-03,Nasrat Haqparast,John Makdessi,1.3615359525013224,-0.3248134482121134,0.7826895843948315,0.0001258851697796,1.4881221995019178,-0.1323127728446378,-0.5819646566803028,2.1603436488944445,win,win
8,train,2022-09-03,Michal Figlak,Fares Ziam,0.0070431212440949,-1.1905930380618392,-0.7962954575837721,0.0001258851697796,-0.0172712135127385,-1.2821299391271417,-0.0099430293270437,-1.071529169458313,lose,lose
9,test,2022-09-03,Gabriel Miranda,Benoit Saint Denis,-4.056435372527588,-0.8141671294315237,-0.0068029365944702,0.0001258851697796,-1.776059615341257,-1.2821299391271417,-0.5819646566803028,0.0057617699926063,lose,lose
10,train,2022-09-03,Cristian Quinonez,Khalid Taha,0.0070431212440949,0.5033235507745807,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.6433426245257506,-0.0099430293270437,-2.148820108909232,win,win
11,train,2022-09-03,Ailin Perez,Stephanie Egger,0.0070431212440949,0.051612460418202,-0.4015491970891212,-0.8472071926167234,1.1834540518514318,-1.2821299391271417,-0.0099430293270437,-1.071529169458313,lose,lose
12,validation,2018-01-20,Francis Ngannou,Stipe Miocic,0.0070431212440949,-1.830517082733376,-2.3752804995623755,0.8474589629562826,-0.0172712135127385,0.3787170788364745,0.5620785980262154,0.0057617699926063,lose,lose
13,train,2018-01-20,Volkan Oezdemir,Daniel Cormier,0.0070431212440949,0.2398254147333598,-0.7962954575837721,-0.8472071926167234,-0.0172712135127385,0.2765111085002519,-0.5819646566803028,0.0057617699926063,lose,lose
14,validation,2018-01-20,Shane Burgos,Calvin Kattar,-1.3474497100131326,0.1645402330072967,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,1.1341002253794747,0.0057617699926063,lose,lose
15,validation,2018-01-20,Francimar Barroso,Gian Villante,0.0070431212440949,0.0139698695551705,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,0.3020626010843074,-0.0099430293270437,-1.071529169458313,lose,win
16,train,2018-01-20,Rob Font,Thomas Almeida,2.7160287837585497,0.6538939142267068,0.3879433239001806,0.0001258851697796,-1.776059615341257,-0.1067612802605822,-0.0099430293270437,0.0057617699926063,win,win
17,train,2018-01-20,Brandon Davis,Kyle Bochniak,0.0070431212440949,0.2021828238703283,-0.7962954575837721,0.0001258851697796,-0.0172712135127385,-0.8477545651981957,-0.0099430293270437,-1.071529169458313,lose,lose
18,train,2018-01-20,Sabah Homasi,Abdul Razak Alhassan,-1.3474497100131326,-0.1742430847599872,0.3879433239001806,0.0001258851697796,-0.0172712135127385,-1.7165053130560872,-0.5819646566803028,2.1603436488944445,lose,lose
19,train,2018-01-20,Alexandre Pantoja,Dustin Ortiz,0.0070431212440949,-0.6259541751163659,-2.3752804995623755,1.6947920407427854,-0.0172712135127385,1.1452618563581431,0.5620785980262154,0.0057617699926063,lose,lose
20,train,2018-01-20,Dan Ige,Julio Arce,0.0070431212440949,-1.3788059923769969,0.3879433239001806,0.0001258851697796,-1.776059615341257,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
21,validation,2018-01-20,Matt Bessette,Enrique Barzola,0.0070431212440949,-0.4377412208012081,-1.9805342390677247,0.0001258851697796,-0.0172712135127385,-1.920917253728532,-1.153986284033562,0.0057617699926063,lose,lose
22,train,2018-01-20,Gleison Tibau,Islam Makhachev,-1.3474497100131326,-0.023672721307861,-0.0068029365944702,0.0001258851697796,-0.8293134296146295,-0.336724713517083,-1.153986284033562,2.1603436488944445,lose,lose
23,test,2002-03-22,Josh Barnett,Randy Couture,0.0070431212440949,0.9926772319939908,-0.4015491970891212,0.8474589629562826,-0.0172712135127385,-0.6433426245257506,-2.87005116609334,0.0057617699926063,win,win
24,train,2002-03-22,Andrei Arlovski,Pedro Rizzo,-1.3474497100131326,0.4280383690485176,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.4389306838533057,-0.0099430293270437,-1.071529169458313,lose,lose
25,train,2002-03-22,Hayato Sakurai,Matt Hughes,1.3615359525013224,-1.1529504471988077,-3.5595192810463283,0.0001258851697796,0.0764319370450979,-1.920917253728532,-0.5819646566803028,0.0057617699926063,lose,lose
26,train,2002-03-22,Pat Miletich,Matt Lindland,0.0070431212440949,-0.701239356842429,-0.4015491970891212,0.0001258851697796,-1.776059615341257,-0.2856217283489718,-1.153986284033562,0.0057617699926063,lose,lose
27,train,2002-03-22,Evan Tanner,Elvis Sinosic,0.0070431212440949,0.1268976421442652,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,0.761989467597309,0.5620785980262154,-1.071529169458313,win,win
28,train,2002-03-22,Frank Mir,Pete Williams,0.0070431212440949,0.1645402330072967,-0.4015491970891212,0.8474589629562826,1.4881221995019178,1.451879767366811,0.5620785980262154,-3.226111048360151,win,win
29,test,2002-03-22,Kelly Dullanty,Matt Serra,0.0070431212440949,-0.0613153121708925,-0.4015491970891212,-2.5418733481897293,-0.0172712135127385,-1.2821299391271417,-0.5819646566803028,0.0057617699926063,lose,lose
30,train,2002-03-22,Jutaro Nakao,Sean Sherk,0.0070431212440949,-0.6259541751163659,-2.7700267600570267,0.0001258851697796,1.4881221995019178,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
31,validation,2013-05-18,Vitor Belfort,Luke Rockhold,1.3615359525013224,0.1268976421442652,-0.0068029365944702,0.0001258851697796,-0.8293134296146295,1.6562917080392558,0.5620785980262154,0.0057617699926063,win,win
32,train,2013-05-18,Jacare Souza,Chris Camozzi,0.0070431212440949,0.1645402330072967,0.3879433239001806,0.8474589629562826,-0.0172712135127385,-1.920917253728532,-2.2980295387400806,0.0057617699926063,win,win
33,test,2013-05-18,Rafael Dos Anjos,Evan Dunham,0.0070431212440949,-0.0613153121708925,-1.191041718078423,0.0001258851697796,-0.8293134296146295,-0.1578642654286935,1.1341002253794747,0.0057617699926063,win,lose
34,test,2013-05-18,Rafael Natal,Joao Zeferino,0.0070431212440949,0.5786087325006438,0.3879433239001806,-1.6945402704032262,-0.0172712135127385,1.5285342451189776,0.5620785980262154,0.0057617699926063,win,win
35,validation,2013-05-18,Hacran Dias,Nik Lentz,-1.3474497100131326,-0.0613153121708925,-1.191041718078423,0.8474589629562826,-0.0172712135127385,0.5575775269248638,-0.5819646566803028,0.0057617699926063,lose,lose
36,test,2013-05-18,Mike Rio,Francisco Trinaldo,0.0070431212440949,0.0139698695551705,-0.0068029365944702,-0.8472071926167234,-1.776059615341257,0.8386439453494756,-0.0099430293270437,0.0057617699926063,lose,lose
37,train,2013-05-18,Gleison Tibau,John Cholish,0.0070431212440949,0.4656809599115492,0.7826895843948315,0.8474589629562826,1.4881221995019178,0.2765111085002519,-0.0099430293270437,0.0057617699926063,win,win
38,train,2013-05-18,Paulo Thiago,Michel Prazeres,0.0070431212440949,0.6162513233636753,-0.4015491970891212,0.0001258851697796,-0.0172712135127385,1.1197103637740875,-0.0099430293270437,2.1603436488944445,win,win
39,test,2013-05-18,Iliarde Santos,Iuri Alcantara,0.0070431212440949,-0.5883115842533343,-0.0068029365944702,0.0001258851697796,-1.776059615341257,-1.7165053130560872,-0.0099430293270437,-1.071529169458313,lose,lose
40,validation,2013-05-18,Fabio Maldonado,Roger Hollett,0.0070431212440949,2.6865938208304105,-0.4015491970891212,0.0001258851697796,-0.0172712135127385,0.6342320046770308,-0.0099430293270437,2.1603436488944445,win,win
41,train,2013-05-18,John Lineker,Azamat Gashimov,4.070521615015777,1.1056050045830854,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,1.2730193192784214,0.5620785980262154,-1.071529169458313,win,win
42,train,2013-05-18,Jussier Formiga,Chris Cariaso,0.0070431212440949,-0.5883115842533343,1.1774358448894824,-0.8472071926167234,-1.776059615341257,-1.7165053130560872,-0.0099430293270437,0.0057617699926063,win,lose
43,train,2013-05-18,Jeremy Larsen,Lucas Martins,0.0070431212440949,0.5033235507745807,0.7826895843948315,0.0001258851697796,-1.776059615341257,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,win
44,test,2014-10-04,Rory MacDonald,Tarec Saffiedine,1.3615359525013224,0.2021828238703283,0.3879433239001806,0.0001258851697796,0.0764319370450979,-0.5155851616054723,0.5620785980262154,0.0057617699926063,win,win
45,train,2014-10-04,Raphael Assuncao,Bryan Caraway,0.0070431212440949,1.3691031406243064,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,0.1487536455799737,2.278143480085993,0.0057617699926063,win,win
46,train,2014-10-04,Yosdenis Cedeno,Chad Laprise,0.0070431212440949,-0.6635967659793974,-1.5857879785730735,0.0001258851697796,-0.0172712135127385,-1.2821299391271417,-0.0099430293270437,0.0057617699926063,lose,lose
47,validation,2014-10-04,Elias Theodorou,Bruno Santos,0.0070431212440949,1.0303198228570225,-0.4015491970891212,0.0001258851697796,-0.0172712135127385,1.2730193192784214,-0.0099430293270437,0.0057617699926063,win,win
48,train,2014-10-04,Li Jingliang,Nordine Taleb,0.0070431212440949,-0.8518097202945553,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
49,test,2014-10-04,Roman Salazar,Mitch Gagnon,0.0070431212440949,-0.0613153121708925,-0.4015491970891212,-0.8472071926167234,-1.776059615341257,-1.920917253728532,-1.7260079113868212,0.0057617699926063,lose,lose
50,train,2014-10-04,Anthony Njokuani,Daron Cruickshank,0.0070431212440949,-0.0613153121708925,-2.3752804995623755,0.0001258851697796,0.0764319370450979,-0.4900336690214168,-0.0099430293270437,0.0057617699926063,lose,lose
51,validation,2014-10-04,Olivier Aubin-Mercier,Jake Lindsey,0.0070431212440949,0.2774680055963914,0.3879433239001806,0.8474589629562826,1.5547749492943046,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,win,win
52,train,2014-10-04,Jason Saggo,Paul Felder,1.3615359525013224,-0.8141671294315237,1.9669283658787844,0.0001258851697796,-0.0172712135127385,2.5505939484812026,0.5620785980262154,0.0057617699926063,lose,win
53,train,2014-10-04,Chris Kelades,Paddy Holohan,0.0070431212440949,0.9173920502679276,-0.4015491970891212,0.8474589629562826,-0.0172712135127385,-2.5597045683299227,-0.5819646566803028,0.0057617699926063,win,win
54,train,2014-10-04,Matt Dwyer,Albert Tumenov,-2.70194254127036,-0.1366004938969557,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-1.2821299391271417,-0.5819646566803028,0.0057617699926063,lose,lose
55,train,2006-04-15,Andrei Arlovski,Tim Sylvia,0.0070431212440949,-0.0613153121708925,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,0.1743051381640296,2.278143480085993,0.0057617699926063,lose,win
56,validation,2006-04-15,Sean Sherk,Nick Diaz,0.0070431212440949,-0.6635967659793974,0.3879433239001806,-2.5418733481897293,-1.776059615341257,0.072099167827807,-0.0099430293270437,0.0057617699926063,win,lose
57,test,2006-04-15,Tito Ortiz,Forrest Griffin,0.0070431212440949,0.1268976421442652,1.1774358448894824,0.0001258851697796,-0.0172712135127385,-0.6944456096938619,-0.5819646566803028,0.0057617699926063,win,win
58,train,2006-04-15,Evan Tanner,Justin Levens,0.0070431212440949,0.3151105964594229,0.3879433239001806,0.8474589629562826,-0.0172712135127385,1.8096006635435893,-0.0099430293270437,2.1603436488944445,win,win
