,w/l,fighter,kd,str,td,sub,weight class,method,round,time,date,w_fighter,l_fighter,w_kd,l_kd,w_str,l_str,w_td,l_td,w_sub,l_sub,w_win_perc,l_win_perc,w_win_strk,l_win_strk,w_lose_strk,l_lose_strk,ttime,w_wins,w_losses,w_draws,w_height,w_weight,w_reach,w_stance,w_age,w_slpm,w_str. acc.,w_sapm,w_str. def,w_td avg.,w_td acc.,w_td def.,w_sub. avg.,l_wins,l_losses,l_draws,l_height,l_weight,l_reach,l_stance,l_age,l_slpm,l_str. acc.,l_sapm,l_str. def,l_td avg.,l_td acc.,l_td def.,l_sub. avg.
0,win,Ciryl Gane:Tai Tuivasa,1:1,110:29,0:0,0:0,Heavyweight,KO/TKO:Punches,3,4:23,2022-09-03,Ciryl Gane,Tai Tuivasa,1,1,110,29,0,0,0,0,0.88,0.73,0,5,1,0,14.383,11.0,1.0,0,193.04,110.25,205.74,Orthodox,32,5.11,0.59,2.25,0.62,0.62,0.21,0.55,0.5,15.0,4.0,0,187.96,118.8,190.5,Southpaw,29,4.12,0.5,4.24,0.45,0.0,0.0,0.52,0.0
1,win,Robert Whittaker:Marvin Vettori,0:0,74:33,1:0,0:0,Middleweight,U-DEC:,3,5:00,2022-09-03,Robert Whittaker,Marvin Vettori,0,0,74,33,1,0,0,0,0.78,0.73,0,1,1,0,15.0,25.0,6.0,0,182.88,83.25,185.42000000000002,Orthodox,32,4.48,0.42,3.26,0.61,0.82,0.37,0.84,0.0,18.0,6.0,1,182.88,83.25,187.96,Southpaw,29,4.2,0.44,3.58,0.59,1.89,0.44,0.74,0.6
2,win,Nassourdine Imavov:Joaquin Buckley,0:0,51:46,2:0,2:0,Middleweight,U-DEC:,3,5:00,2022-09-03,Nassourdine Imavov,Joaquin Buckley,0,0,51,46,2,0,2,0,0.75,0.71,2,3,0,0,15.0,12.0,3.0,0,190.5,83.25,190.5,Orthodox,27,4.08,0.54,2.43,0.62,0.95,0.23,0.76,2.4,15.0,5.0,0,177.8,83.25,193.04,Southpaw,28,3.61,0.32,3.42,0.54,1.35,0.3,0.66,0.0
3,win,Roman Kopylov:Alessio Di Chirico,1:0,59:39,0:0,0:0,Middleweight,KO/TKO:Punches,3,1:09,2022-09-03,Roman Kopylov,Alessio Di Chirico,1,0,59,39,0,0,0,0,0,0.4,0,0,2,1,11.15,9.0,0.0,-0,182.88,83.25,190.5,Southpaw,31,3.44,0.44,3.81,0.6,0.37,0.33,0.87,0.0,13.0,7.0,0,182.88,83.25,187.96,Orthodox,33,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0
4,win,William Gomis:Jarno Errens,0:0,32:20,3:0,0:1,Featherweight,U-DEC:,3,5:00,2022-09-03,William Gomis,Jarno Errens,0,0,32,20,3,0,0,1,0,0,0,0,0,0,15.0,11.0,2.0,0,182.88,65.25,185.42000000000002,Southpaw,25,2.13,0.45,1.33,0.62,3.0,0.6,1.0,0.0,13.0,4.0,1,180.34,65.25,185.42000000000002,Orthodox,28,1.33,0.37,2.13,0.54,0.0,0.0,0.4,1.0
5,win,Nathaniel Wood:Charles Jourdain,0:0,97:86,5:1,0:0,Featherweight,U-DEC:,3,5:00,2022-09-03,Nathaniel Wood,Charles Jourdain,0,0,97,86,5,1,0,0,0.71,0.5,1,0,0,1,15.0,19.0,5.0,0,167.64,65.25,175.26,Orthodox,29,6.34,0.48,4.42,0.57,1.81,0.54,0.73,0.6,13.0,6.0,1,175.26,65.25,175.26,Switch,27,5.84,0.49,4.56,0.58,0.12,0.16,0.48,0.5
6,win,Abus Magomedov:Dustin Stoltzfus,1:0,7:0,0:0,0:0,Middleweight,KO/TKO:Punches,1,0:19,2022-09-03,Abus Magomedov,Dustin Stoltzfus,1,0,7,0,0,0,0,0,0,0.25,0,1,0,0,0.317,25.0,4.0,1,187.96,83.25,198.12,Orthodox,32,22.11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,0,182.88,83.25,190.5,Orthodox,31,2.96,0.41,3.28,0.46,1.76,0.35,0.46,0.5
7,win,Nasrat Haqparast:John Makdessi,1:0,64:73,2:0,0:0,Lightweight,U-DEC:,3,5:00,2022-09-03,Nasrat Haqparast,John Makdessi,1,0,64,73,2,0,0,0,0.56,0.61,0,1,2,0,15.0,14.0,5.0,0,177.8,69.75,182.88,Southpaw,27,5.06,0.44,4.72,0.65,0.36,0.3,0.78,0.0,18.0,8.0,0,172.72,69.75,172.72,Orthodox,37,5.52,0.5,4.04,0.69,0.0,0.0,0.85,0.0
8,win,Fares Ziam:Michal Figlak,0:0,60:28,3:1,0:0,Lightweight,U-DEC:,3,5:00,2022-09-03,Fares Ziam,Michal Figlak,0,0,60,28,3,1,0,0,0.5,0,0,0,1,0,15.0,13.0,4.0,0,185.42,69.75,190.5,Orthodox,25,2.52,0.44,1.7,0.66,0.96,0.25,0.7,0.0,8.0,0.0,-0,177.8,69.75,177.8,Orthodox,26,1.87,0.29,4.0,0.44,1.0,0.2,0.57,0.0
9,win,Benoit Saint Denis:Gabriel Miranda,3:0,42:20,1:1,0:0,Lightweight,KO/TKO:Punch,2,0:16,2022-09-03,Benoit Saint Denis,Gabriel Miranda,3,0,42,20,1,1,0,0,0.5,0,1,0,0,0,5.267,10.0,1.0,0,180.34,69.75,185.42000000000002,Southpaw,27,4.37,0.52,6.72,0.41,3.36,0.3,0.85,1.1,16.0,6.0,0,180.34,69.75,180.34,Orthodox,32,3.8,0.54,7.97,0.37,2.85,0.33,0.0,0.0
