,result,fighter,opponent,date,weight class,method,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
0,win,Ciryl Gane,Tai Tuivasa,2022-09-03,Heavyweight,KO/TKO:Punches,0.007043121244094929,3.063019729460726,-0.006802936594470287,0.0001258851697796023,0.34173586434838793,0.7442828838094844,0.10067113503723706,0.4757158925693525,0.6412591515526522,0.7372251754234123,-1.2202645954468392,1.4440733363038833,-1.776059615341257,0.37871707883647454,-2.8700511660933397,1.0830527094435254
1,lose,Marvin Vettori,Robert Whittaker,2022-09-03,Middleweight,U-DEC:,0.007043121244094929,-1.5293763558291231,-0.40154919708912123,0.0001258851697796023,0.5926104093203701,0.2546822941331569,-0.334901764941172,0.5710545358398911,-0.16218703347483612,0.16966466121758722,0.1900052766267968,-0.15405315019733556,1.4881221995019178,-0.13231277284463816,0.5620785980262154,-1.0715291694583127
2,lose,Joaquin Buckley,Nassourdine Imavov,2022-09-03,Middleweight,U-DEC:,0.007043121244094929,-0.17424308475998723,-0.7962954575837721,-1.6945402704032262,0.21908608680653002,0.2546822941331568,-0.334901764941172,-2.289104762276269,-0.2823876438332792,-1.7762571017738147,0.5990445901719635,-0.6587246722503516,1.4881221995019178,-0.10676128026058253,0.5620785980262154,0.005761769992606312
3,lose,Alessio Di Chirico,Roman Kopylov,2022-09-03,Middleweight,KO/TKO:Punches,-1.3474497100131326,-0.7388819477054606,-0.006802936594470287,0.0001258851697796023,0.6037603890969027,0.2197108234419906,-0.1338681187972911,-0.0009773237833408386,-0.06096546685719975,-0.39789585298823826,-0.2312441656809128,0.09828261082917292,-1.776059615341257,1.0175043934378651,-0.009943029327043728,-1.0715291694583127
4,lose,Jarno Errens,William Gomis,2022-09-03,Featherweight,U-DEC:,0.007043121244094929,-0.4377412208012081,-1.191041718078423,0.8474589629562826,-1.6764104752040025,-2.0884062421749823,-2.010182149473515,0.9524091089220458,-0.4911571249821538,-0.6411360733621636,0.4830483669278117,-0.6587246722503516,-1.776059615341257,-0.004555309924359925,-0.009943029327043728,0.005761769992606312
5,win,Nathaniel Wood,Charles Jourdain,2022-09-03,Featherweight,U-DEC:,0.007043121244094929,0.4280383690485176,1.5721821053841334,0.0001258851697796023,0.9382597823928791,1.3387978855593108,0.8377945042314678,0.09436131948719781,0.33126810378614097,-0.07357555915633818,-0.09082768491167607,-0.06994122985516607,0.07643193704509792,0.5320260343408082,0.5620785980262154,-1.0715291694583127
6,win,Abus Magomedov,Dustin Stoltzfus,2022-09-03,Middleweight,KO/TKO:Punches,1.3615359525013224,0.2774680055963914,-0.006802936594470287,0.0001258851697796023,-0.9851117290589848,-1.2141194748958257,-1.5411036418044588,-0.4776705401360342,12.12990696265437,4.7912288483221666,-2.007817900630817,4.556214388964152,-0.01727121351273854,-0.6433426245257506,-0.5819646566803028,0.005761769992606312
7,win,Nasrat Haqparast,John Makdessi,2022-09-03,Lightweight,U-DEC:,1.3615359525013224,-0.32481344821211344,0.7826895843948315,0.0001258851697796023,0.19678612725346484,1.0590261200299806,-0.23438494186923137,-0.0009773237833408386,-0.27606129591967676,-0.4789759264462134,0.40978759435255785,-0.3222769908816736,1.4881221995019178,-0.13231277284463788,-0.5819646566803028,2.1603436488944445
8,lose,Michal Figlak,Fares Ziam,2022-09-03,Lightweight,U-DEC:,0.007043121244094929,-1.1905930380618392,-0.7962954575837721,0.0001258851697796023,0.018386450828944172,-0.16497535416083814,-0.43541858801311273,-0.0009773237833408386,-0.39626190627811986,-1.2086965875679891,1.3988080241184842,-1.836291557040724,-0.01727121351273854,-1.2821299391271415,-0.009943029327043728,-1.0715291694583127
9,lose,Gabriel Miranda,Benoit Saint Denis,2022-09-03,Lightweight,KO/TKO:Punch,-4.056435372527588,-0.8141671294315237,-0.006802936594470287,0.0001258851697796023,-0.28823799302570074,0.11479641136849195,-2.847822341739686,-1.0497023997592663,-0.34565112296930195,0.16966466121758722,0.7577762640850136,-0.32227699088167405,-1.776059615341257,-1.2821299391271415,-0.5819646566803028,0.005761769992606312
10,win,Cristian Quinonez,Khalid Taha,2022-09-03,Bantamweight,KO/TKO:Punches,0.007043121244094929,0.5033235507745807,-0.006802936594470287,0.0001258851697796023,0.45323566211371336,3.5070290684116188,1.3068730119005239,-0.1916546103244182,1.6408221219018104,0.7372251754234123,0.28768630672713474,1.359961415961714,-0.01727121351273854,-0.6433426245257506,-0.009943029327043728,-2.1488201089092316
