,result,fighter,opponent,date,weight class,method,norm_td_acc_dif,norm_td_def_dif,norm_sub_avg_dif,str_dif,slpm_dif,str. def_dif,str. acc._dif,sapm_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
0,win,Ciryl Gane,Tai Tuivasa,2022-09-03,Heavyweight,KO/TKO:Punches,0.7245724721210761,0.11051582852646706,0.4764619028225549,3.0401490730302902,0.631003247779119,1.434947033660592,0.7492857336233708,-1.2218038283603538,-0.6881393265757445,0.4344939108106647,0.3807192252998732,-0.5740037583545848
1,win,Robert Whittaker,Marvin Vettori,2022-09-03,Middleweight,U-DEC:,-0.25308254393396307,0.34443899244727577,-0.569086267940807,1.5363132322218633,0.1829519340862145,0.17442683223561145,-0.14235723236324657,-0.19667587883261908,-0.6881393265757445,0.23679299396443873,0.3807192252998732,-0.5740037583545848
2,win,Nassourdine Imavov,Joaquin Buckley,2022-09-03,Middleweight,U-DEC:,-0.25308254393396296,0.34443899244727577,2.2824087432319984,0.18286097549427893,0.30285298986318887,0.6786349128056034,1.8030456025166466,-0.6079547567868597,-0.6881393265757445,0.3554135440721744,1.132787862497132,-0.5740037583545848
3,win,Roman Kopylov,Alessio Di Chirico,2022-09-03,Middleweight,KO/TKO:Punches,-0.21816629336056878,0.14393342337229692,0.0012127342937540688,0.746799415797439,0.08198262395823593,-0.07767720804938497,0.4250519278100555,0.22687998055309197,1.9897065661154227,-0.05975838130490018,0.3807192252998732,-1.162132493844933
4,win,William Gomis,Jarno Errens,2022-09-03,Featherweight,U-DEC:,2.0863062444834517,2.0153187347387678,-0.9492856027638477,0.44603224763575366,0.5111021920021442,0.6786349128056034,0.6682272821700423,-0.49132343318789584,1.9897065661154227,1.9765610622112273,0.3807192252998732,-0.5740037583545848
5,lose,Charles Jourdain,Nathaniel Wood,2022-09-03,Featherweight,U-DEC:,-1.335486311709185,-0.8251768271567684,-0.09383709941200609,-0.4186733608290918,-0.3092734527876807,0.09039215214061264,0.10081812199674024,0.08569469409118811,1.0890966140695426,-0.6133209484743329,-0.747383730496015,1.1903824481164595
6,lose,Dustin Stoltzfus,Abus Magomedov,2022-09-03,Middleweight,KO/TKO:Punches,1.2133999801485957,1.54747240689715,0.4764619028225549,-0.2682897767482491,-12.07850866458017,-4.531515253084318,-4.762688965202992,2.013180778831959,-0.35253776433502426,-1.5820554410208405,-0.37134941189738563,0.6022537126261116
7,win,Nasrat Haqparast,John Makdessi,2022-09-03,Lightweight,U-DEC:,1.0388187272816245,-0.2236601199318312,0.0012127342937540688,-0.3434815687886704,-0.2840311252556861,-0.3297812483343804,-0.4665910381765619,0.4171731927408749,1.9897065661154227,0.03909207711821279,0.3807192252998732,-0.5740037583545848
8,lose,Michal Figlak,Fares Ziam,2022-09-03,Lightweight,U-DEC:,-0.1832500427871745,-0.42416568900681045,0.0012127342937540688,-1.2081871772535158,-0.40393218103266043,-1.8424054900443583,-1.196117101256522,1.411608688689935,-0.35253776433502426,-1.1866536073283882,-0.37134941189738563,0.6022537126261116
9,lose,Gabriel Miranda,Benoit Saint Denis,2022-09-03,Lightweight,KO/TKO:Punch,0.0960799617999796,-2.830232517906558,-1.0443354364696078,-0.8322282170514093,-0.3534475259686714,-0.3297812483343809,0.1818765734500692,0.7670671635377666,-0.6881393265757445,-1.3250442491207466,-0.747383730496015,0.6022537126261116
10,win,Cristian Quinonez,Khalid Taha,2022-09-03,Bantamweight,KO/TKO:Punches,3.482956267419222,1.3135492429763411,-0.18888693311776628,0.48362814365596435,1.628075185292906,1.3509123535655934,0.7492857336233708,0.294403378426176,-0.35253776433502426,1.5811592285187754,0.3807192252998732,-1.7502612293352813
11,lose,Ailin Perez,Stephanie Egger,2022-09-03,Women's Featherweight,SUB:Rear Naked Choke,-0.25308254393396307,0.9125381048263829,-0.7591859353523274,0.032477391413436266,-0.10733483253172373,-1.7583708099493596,-0.7097663925365492,-0.12301399024379961,1.0890966140695426,-1.1866536073283882,-0.37134941189738563,0.6022537126261116
12,win,Stipe Miocic,Francis Ngannou,2018-01-20,Heavyweight,U-DEC:,-0.9863238059752424,-0.08998974054851176,-0.2839367668235265,1.8370804003835486,1.5775905302289173,1.098808313280598,0.9924610879833581,1.018745282882899,-0.35253776433502426,-0.00044810625103244216,2.2608908182930203,-0.5740037583545848
13,lose,Volkan Oezdemir,Daniel Cormier,2018-01-20,Light Heavyweight,KO/TKO:Punches,-0.7419100519614826,0.21076861306395628,-0.3789866005292867,0.22045687151448962,0.3280953173951833,0.17442683223561145,-0.38553258672323343,0.6565743306545379,-0.35253776433502426,-0.2969994815203715,-1.875486686291903,0.6022537126261116
14,lose,Shane Burgos,Calvin Kattar,2018-01-20,Featherweight,KO/TKO:Punch,0.5150749686807107,0.010263043988977464,0.2863622354110346,0.14526507947406828,1.4008942375049547,0.17442683223561145,1.0735195394366865,-0.22736833241129367,-0.35253776433502426,-0.4947003983665974,-0.747383730496015,0.6022537126261116
15,lose,Francimar Barroso,Gian Villante,2018-01-20,Light Heavyweight,S-DEC:,0.026247460653190932,0.010263043988977464,0.0012127342937540688,-0.0051185046067744044,-1.0097480418005313,0.34249619242560814,0.6682272821700423,-1.4734819477054864,-0.35253776433502426,-0.00044810625103244216,-0.37134941189738563,1.1903824481164595
16,win,Rob Font,Thomas Almeida,2018-01-20,Bantamweight,KO/TKO:Kick,0.7944049732678646,-0.6580888529276191,0.38141206911679476,0.6340117277368069,0.9780852513440448,-0.3297812483343813,0.2629350249033981,-0.6018162660711246,-0.6881393265757445,0.17748271891057088,0.3807192252998732,-1.162132493844933
17,lose,Brandon Davis,Kyle Bochniak,2018-01-20,Featherweight,U-DEC:,1.0388187272816245,-0.19024252508600134,0.09626256799951424,0.18286097549427893,1.268372017961983,0.17442683223561145,0.34399347635672656,-0.3992460724518721,-0.35253776433502426,-0.9889526904821624,-0.37134941189738563,0.6022537126261116
18,lose,Sabah Homasi,Abdul Razak Alhassan,2018-01-20,Welterweight,KO/TKO:Punch,0.16591246294676798,0.47810937183059515,0.0012127342937540688,-0.19309798470782777,0.8960476868650626,-0.7499546488093753,0.019759670543411295,1.7492256780553572,-0.35253776433502426,-1.4832049825977274,-0.747383730496015,1.778511183606808
19,win,Dustin Ortiz,Alexandre Pantoja,2018-01-20,Flyweight,U-DEC:,-0.1483337922137804,-0.4910008786984702,-1.0443354364696076,0.6340117277368069,-0.8204305853105718,0.17442683223561145,-0.304474135269904,-0.7430015525330285,-0.35253776433502426,-0.17837893141263597,0.7567535438985026,-0.5740037583545848
20,lose,Dan Ige,Julio Arce,2018-01-20,Featherweight,U-DEC:,-0.07850129106699184,-1.4266935343817053,-0.09383709941200614,-1.3961666573545692,-0.5869390556396217,-1.0860933691893686,0.6682272821700423,0.29440337842617625,-0.6881393265757445,-1.9774572747132926,-0.37134941189738563,0.6022537126261116
21,win,Enrique Barzola,Matt Bessette,2018-01-20,Featherweight,U-DEC:,0.5849074698274991,0.1773510182181268,0.0012127342937540688,0.44603224763575366,-0.27772054337268753,0.8467042729956019,0.019759670543411295,-0.9087408018578719,-0.35253776433502426,1.5811592285187754,1.132787862497132,-0.5740037583545848
22,win,Islam Makhachev,Gleison Tibau,2018-01-20,Lightweight,KO/TKO:Punch,0.4103262169605278,-0.12340733539434198,0.38141206911679465,0.032477391413436266,0.20819426161820898,0.4265308725206079,2.1272794083299615,-1.0253721254568358,-1.3246594926737276,0.4147238191260423,1.132787862497132,-1.7502612293352813
23,win,Josh Barnett,Randy Couture,2002-03-22,Heavyweight,KO/TKO:Punches,0.3055774652403451,-0.08998974054851176,0.8566612376455955,0.972374791918703,0.22712600726720497,-0.16171188814438378,-0.5476494896298904,0.3557882855835256,-0.35253776433502426,-0.15860883972801315,1.132787862497132,-0.5740037583545848
24,lose,Andrei Arlovski,Pedro Rizzo,2002-03-22,Heavyweight,KO/TKO:Punch,0.27066121466695064,-0.05657214570268227,0.19131240170527444,0.408436351615543,1.192645035365999,0.5946002327106046,0.9114026365300287,0.11024865695412817,-0.35253776433502426,-0.7319414985820685,-0.37134941189738563,1.1903824481164595
25,lose,Hayato Sakurai,Matt Hughes,2002-03-22,Welterweight,KO/TKO:Punches,0.6547399709742875,0.7120325357514042,-0.8542357690580874,-1.1705912812333052,0.20188367973521032,0.5105655526156058,-0.30447413526990447,0.3557882855835256,-0.06018288813761225,-1.5820554410208405,-0.747383730496015,0.6022537126261116
26,win,Matt Lindland,Pat Miletich,2002-03-22,Middleweight,KO/TKO:Punches,-1.8243138197367048,0.21076861306395628,0.2863622354110346,0.7092035197772283,0.5300339376511404,-0.918024008999372,0.4250519278100555,-0.06162908308645015,1.9897065661154227,0.39495372744141943,1.5088221810957616,-0.5740037583545848
27,win,Evan Tanner,Elvis Sinosic,2002-03-22,Light Heavyweight,KO/TKO:,1.4927299847357498,0.8457029151347233,0.09626256799951433,0.10766918345385762,1.2178873628979936,0.25846151233061027,1.8030456025166461,-1.2033883562131487,-0.35253776433502426,0.9880564779800973,0.7567535438985026,-1.162132493844933
28,win,Frank Mir,Pete Williams,2002-03-22,Heavyweight,SUB:Other - Lock,-0.008668789920203259,1.2801316481305112,1.046760905057116,0.14526507947406828,0.9970169969930409,-0.16171188814438378,-1.196117101256522,0.6565743306545376,1.9897065661154227,1.2252975781955686,0.7567535438985026,-2.3383899648256294
29,lose,Kelly Dullanty,Matt Serra,2002-03-22,Lightweight,SUB:Triangle Choke,-0.7069938013880884,0.9459556996722129,-0.8542357690580875,-0.08031029664719574,-1.2432395714714817,2.4433631948005767,-3.1415199361364143,-1.209526846928884,-0.35253776433502426,-1.3250442491207466,-0.747383730496015,0.6022537126261116
30,lose,Jutaro Nakao,Sean Sherk,2002-03-22,Welterweight,U-DEC:,0.1309962123733737,0.010263043988977464,-0.3789866005292867,-0.6442487369503559,-1.0286797874495273,-0.9180240089993725,0.2629350249033981,-1.0130951440253657,1.9897065661154227,-0.9889526904821624,-0.747383730496015,0.6022537126261116
31,lose,Luke Rockhold,Vitor Belfort,2013-05-18,Middleweight,KO/TKO:Kick,-1.0910725576954252,0.41127418213893546,0.38141206911679476,-0.11790619266740641,1.5902116939949142,0.25846151233061027,0.26293502490339765,-0.09232153666512488,-1.3246594926737276,-1.3250442491207466,-0.747383730496015,0.6022537126261116
32,lose,Chris Camozzi,Jacare Souza,2013-05-18,Middleweight,SUB:Arm Triangle,-0.7069938013880884,0.010263043988977464,-0.7591859353523274,-0.1555020886876171,0.6625561571941121,-0.497850608524378,-0.22341568381657506,0.0795562033754533,-0.35253776433502426,-0.6528611318435781,-0.37134941189738563,0.6022537126261116
33,lose,Evan Dunham,Rafael Dos Anjos,2013-05-18,Lightweight,U-DEC:,-0.04358504049359754,0.6786149409055744,0.4764619028225549,0.07007328743364694,1.1106074708870164,0.006357472045613839,-0.5476494896298908,0.1900490362586823,-1.3246594926737276,-0.05975838130490029,-1.4994523676932738,0.6022537126261116
34,lose,Joao Zeferino,Rafael Natal,2013-05-18,Middleweight,U-DEC:,-1.0212400565486368,-0.8920120168484282,0.4764619028225549,-0.5690569449099344,-1.4262464460784425,-0.7499546488093745,-0.8718832954432062,0.0734177126597185,-0.35253776433502426,-1.3250442491207466,-0.747383730496015,0.6022537126261116
35,lose,Hacran Dias,Nik Lentz,2013-05-18,Featherweight,U-DEC:,0.23574496409355658,1.113043673901362,-0.6641361016465671,-0.08031029664719574,-0.8519834947255649,0.4265308725206079,-0.4665910381765619,0.03658676836530883,-0.35253776433502426,-0.5935508567897104,-1.1234180490946444,0.6022537126261116
36,win,Francisco Trinaldo,Mike Rio,2013-05-18,Lightweight,SUB:Arm Triangle,0.5499912192541048,1.9819011398929378,-0.4740364342350468,-0.0051185046067744044,0.9339111781630541,0.5946002327106046,0.4250519278100555,-0.23964531384276355,1.9897065661154227,0.4938041858645325,0.7567535438985026,-0.5740037583545848
37,win,Gleison Tibau,John Cholish,2013-05-18,Lightweight,SUB:Guillotine Choke,0.7594887226944705,0.47810937183059515,0.38141206911679476,0.44603224763575366,-0.4354850904476537,-0.8339893289043733,-1.4392924556165083,0.13480261981706768,1.9897065661154227,0.5926546442876455,0.3807192252998732,-1.162132493844933
38,win,Paulo Thiago,Michel Prazeres,2013-05-18,Welterweight,U-DEC:,-0.1832500427871745,0.5449445615222549,0.5715117365283151,0.5964158317165964,-0.41655334479865774,0.5105655526156067,-0.6287079410832194,-0.3194456931473175,-0.35253776433502426,0.9880564779800974,0.3807192252998732,-0.5740037583545848
39,lose,Iliarde Santos,Iuri Alcantara,2013-05-18,Bantamweight,KO/TKO:Punch,-1.3704025622825793,0.7788677254430636,-0.7591859353523274,-0.6066528409301452,0.1829519340862142,0.6786349128056034,-1.196117101256522,2.0315962509791636,-0.6881393265757445,-1.4832049825977274,-0.37134941189738563,0.6022537126261116
40,lose,Roger Hollett,Fabio Maldonado,2013-05-18,Light Heavyweight,U-DEC:,-1.0212400565486364,-1.0256823962317474,-0.569086267940807,-2.674427122041732,-2.177205690155282,-1.590301449759362,-0.8718832954432062,1.325669818669646,-0.35253776433502426,-0.7912517736359365,-0.37134941189738563,1.1903824481164595
41,win,John Lineker,Azamat Gashimov,2013-05-18,Flyweight,KO/TKO:Punch,1.143567479001807,2.2492418986595766,0.5715117365283151,1.0851624799793351,2.6062153771576977,0.25846151233061027,1.55987024815666,-0.2948917302843782,-0.35253776433502426,1.3241480366186817,0.7567535438985026,-1.162132493844933
