,name,wins,losses,draws,height,weight,reach,stance,age,slpm,str. acc.,sapm,str. def,td avg.,td acc.,td def.,sub. avg.
0,Dylan Andrews,18,7.0,0,185.42,83.25,187.96,Switch,43,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
1,Rafael Alves,20,1.0,-0,172.72,69.75,172.72,Orthodox,32,2.46,0.5,4.14,0.58,0.41,0.25,0.6,1.2
2,Rayanne Amanda,11,6.0,0,157.48,51.75,157.48,Orthodox,27,3.67,0.31,6.87,0.57,1.0,0.25,0.0,0.0
3,Anthony Avila,13,5.0,0,170.18,65.25,174.36,Orthodox,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Arnold Allen,19,1.0,0,172.72,65.25,177.8,Southpaw,28,3.4,0.42,2.25,0.67,1.35,0.5,0.76,0.4
5,Marcus Aurelio,22,1.0,-0,177.8,69.75,187.96,Orthodox,49,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
6,Collin Anglin,8,0.0,-0,175.26,65.25,180.34,Orthodox,29,4.59,0.48,5.54,0.51,2.28,0.66,1.0,0.0
7,Houston Alexander,17,1.0,-1,182.88,92.25,182.88,Orthodox,50,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0
8,Ricardo Arona,14,5.0,0,180.34,92.25,184.77,Orthodox,44,1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2
9,Luiz Azeredo,15,1.0,-0,175.26,69.3,179.56,Orthodox,46,2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3
10,Scott Askham,14,4.0,0,190.5,83.25,190.5,Southpaw,34,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
11,Ben Askren,19,2.0,0,180.34,76.5,185.42000000000002,Orthodox,38,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9
12,Josh Appelt,15,7.0,0,177.8,114.75,182.16,Southpaw,39,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0
13,Sam Adkins,7,0.0,0-2,190.5,101.25,195.18,Orthodox,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Irina Alekseeva,4,0.0,-0,172.72,60.75,176.96,Orthodox,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Lucas Alexander,7,0.0,-0,180.34,65.25,185.42000000000002,Orthodox,27,0.49,0.5,1.97,0.5,0.0,0.0,0.0,0.0
16,Julio Arce,18,5.0,0,170.18,60.75,177.8,Southpaw,33,4.74,0.37,3.08,0.69,0.42,0.27,0.94,0.4
17,Israel Adesanya,23,1.0,0,193.04,83.25,203.2,Switch,33,3.93,0.49,2.67,0.59,0.0,0.0,0.78,0.2
18,Alex Andrade,10,5.0,0,180.34,90.0,184.77,Orthodox,48,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8
19,Danny Abbadi,4,0.0,-0,180.34,69.75,184.77,Orthodox,39,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0
20,Omari Akhmedov,21,6.0,1,182.88,83.25,185.42000000000002,Orthodox,35,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2
