,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,date
0,win,Ciryl Gane:Tai Tuivasa,1:1,110:29,0:0,0:0,Heavyweight,KO/TKO:Punches,3,4:23,"September 03, 2022"
1,win,Robert Whittaker:Marvin Vettori,0:0,74:33,1:0,0:0,Middleweight,U-DEC:,3,5:00,"September 03, 2022"
2,win,Nassourdine Imavov:Joaquin Buckley,0:0,51:46,2:0,2:0,Middleweight,U-DEC:,3,5:00,"September 03, 2022"
3,win,Roman Kopylov:Alessio Di Chirico,1:0,59:39,0:0,0:0,Middleweight,KO/TKO:Punches,3,1:09,"September 03, 2022"
4,win,William Gomis:Jarno Errens,0:0,32:20,3:0,0:1,Featherweight,U-DEC:,3,5:00,"September 03, 2022"
5,win,Nathaniel Wood:Charles Jourdain,0:0,97:86,5:1,0:0,Featherweight,U-DEC:,3,5:00,"September 03, 2022"
6,win,Abus Magomedov:Dustin Stoltzfus,1:0,7:0,0:0,0:0,Middleweight,KO/TKO:Punches,1,0:19,"September 03, 2022"
7,win,Nasrat Haqparast:John Makdessi,1:0,64:73,2:0,0:0,Lightweight,U-DEC:,3,5:00,"September 03, 2022"
8,win,Fares Ziam:Michal Figlak,0:0,60:28,3:1,0:0,Lightweight,U-DEC:,3,5:00,"September 03, 2022"
9,win,Benoit Saint Denis:Gabriel Miranda,3:0,42:20,1:1,0:0,Lightweight,KO/TKO:Punch,2,0:16,"September 03, 2022"
10,win,Cristian Quinonez:Khalid Taha,0:0,19:6,0:0,0:0,Bantamweight,KO/TKO:Punches,1,3:15,"September 03, 2022"
11,win,Stephanie Egger:Ailin Perez,0:0,15:16,2:1,1:0,Women's Featherweight,SUB:Rear Naked Choke,2,4:54,"September 03, 2022"
12,win,Stipe Miocic:Francis Ngannou,0:0,70:21,6:0,0:1,Heavyweight,U-DEC:,5,5:00,"January 20, 2018"
13,win,Daniel Cormier:Volkan Oezdemir,0:0,32:38,2:0,1:0,Light Heavyweight,KO/TKO:Punches,2,2:00,"January 20, 2018"
14,win,Calvin Kattar:Shane Burgos,1:0,85:89,0:0,0:0,Featherweight,KO/TKO:Punch,3,0:32,"January 20, 2018"
15,win,Gian Villante:Francimar Barroso,0:0,74:74,0:0,0:0,Light Heavyweight,S-DEC:,3,5:00,"January 20, 2018"
16,win,Rob Font:Thomas Almeida,2:0,41:24,1:0,0:0,Bantamweight,KO/TKO:Kick,2,2:24,"January 20, 2018"
17,win,Kyle Bochniak:Brandon Davis,0:0,33:38,3:1,0:0,Featherweight,U-DEC:,3,5:00,"January 20, 2018"
18,win,Abdul Razak Alhassan:Sabah Homasi,1:0,13:8,0:1,0:0,Welterweight,KO/TKO:Punch,1,3:47,"January 20, 2018"
19,win,Dustin Ortiz:Alexandre Pantoja,0:0,36:19,7:1,0:2,Flyweight,U-DEC:,3,5:00,"January 20, 2018"
20,win,Julio Arce:Dan Ige,0:0,72:35,0:1,0:0,Featherweight,U-DEC:,3,5:00,"January 20, 2018"
21,win,Enrique Barzola:Matt Bessette,0:0,55:43,5:0,0:0,Featherweight,U-DEC:,3,5:00,"January 20, 2018"
22,win,Islam Makhachev:Gleison Tibau,1:0,3:2,0:0,0:0,Lightweight,KO/TKO:Punch,1,0:57,"January 20, 2018"
23,win,Josh Barnett:Randy Couture,0:0,44:18,0:1,1:0,Heavyweight,KO/TKO:Punches,2,4:35,"March 22, 2002"
24,win,Pedro Rizzo:Andrei Arlovski,1:0,27:38,0:0,0:0,Heavyweight,KO/TKO:Punch,3,1:45,"March 22, 2002"
25,win,Matt Hughes:Hayato Sakurai,0:1,36:5,9:0,0:0,Welterweight,KO/TKO:Punches,4,3:01,"March 22, 2002"
26,win,Matt Lindland:Pat Miletich,0:0,20:1,1:0,0:0,Middleweight,KO/TKO:Punches,1,3:09,"March 22, 2002"
27,win,Evan Tanner:Elvis Sinosic,0:0,7:4,0:0,0:0,Light Heavyweight,KO/TKO:,1,2:06,"March 22, 2002"
28,win,Frank Mir:Pete Williams,0:0,4:0,0:1,1:0,Heavyweight,SUB:Other - Lock,1,0:46,"March 22, 2002"
29,win,Matt Serra:Kelly Dullanty,0:0,2:0,1:0,3:0,Lightweight,SUB:Triangle Choke,1,2:58,"March 22, 2002"
30,win,Sean Sherk:Jutaro Nakao,0:0,21:4,7:0,0:0,Welterweight,U-DEC:,3,5:00,"March 22, 2002"
31,win,Vitor Belfort:Luke Rockhold,1:0,9:6,0:0,0:0,Middleweight,KO/TKO:Kick,1,2:32,"May 18, 2013"
32,win,Jacare Souza:Chris Camozzi,0:0,8:4,1:0,1:0,Middleweight,SUB:Arm Triangle,1,3:37,"May 18, 2013"
33,win,Rafael Dos Anjos:Evan Dunham,0:0,66:68,0:3,0:0,Lightweight,U-DEC:,3,5:00,"May 18, 2013"
34,win,Rafael Natal:Joao Zeferino,0:0,29:14,1:0,0:2,Middleweight,U-DEC:,3,5:00,"May 18, 2013"
35,win,Nik Lentz:Hacran Dias,1:0,42:40,4:1,0:1,Featherweight,U-DEC:,3,5:00,"May 18, 2013"
36,win,Francisco Trinaldo:Mike Rio,0:0,5:5,1:1,1:0,Lightweight,SUB:Arm Triangle,1,3:08,"May 18, 2013"
37,win,Gleison Tibau:John Cholish,0:0,21:9,2:0,1:0,Lightweight,SUB:Guillotine Choke,2,2:34,"May 18, 2013"
38,win,Paulo Thiago:Michel Prazeres,0:0,46:30,2:3,0:0,Welterweight,U-DEC:,3,5:00,"May 18, 2013"
39,win,Iuri Alcantara:Iliarde Santos,0:0,19:3,0:0,0:0,Bantamweight,KO/TKO:Punch,1,2:31,"May 18, 2013"
40,win,Fabio Maldonado:Roger Hollett,0:0,100:29,1:2,0:0,Light Heavyweight,U-DEC:,3,5:00,"May 18, 2013"
41,win,John Lineker:Azamat Gashimov,3:0,36:7,0:0,0:0,Flyweight,KO/TKO:Punch,2,1:07,"May 18, 2013"
42,win,Jussier Formiga:Chris Cariaso,0:0,10:26,4:1,0:1,Flyweight,U-DEC:,3,5:00,"May 18, 2013"
43,win,Lucas Martins:Jeremy Larsen,1:1,39:52,0:2,0:0,Lightweight,KO/TKO:Punch,3,0:13,"May 18, 2013"
44,win,Rory MacDonald:Tarec Saffiedine,1:0,47:42,1:0,0:0,Welterweight,KO/TKO:Punch,3,1:28,"October 04, 2014"
45,win,Raphael Assuncao:Bryan Caraway,0:0,75:39,2:2,0:0,Bantamweight,U-DEC:,3,5:00,"October 04, 2014"
46,win,Chad Laprise:Yosdenis Cedeno,0:0,35:17,4:0,0:0,Lightweight,U-DEC:,3,5:00,"October 04, 2014"
47,win,Elias Theodorou:Bruno Santos,0:0,43:16,3:4,0:0,Middleweight,U-DEC:,3,5:00,"October 04, 2014"
48,win,Nordine Taleb:Li Jingliang,0:0,66:43,2:2,0:0,Welterweight,S-DEC:,3,5:00,"October 04, 2014"
49,win,Mitch Gagnon:Roman Salazar,0:0,5:3,1:0,1:0,Bantamweight,SUB:Rear Naked Choke,1,2:06,"October 04, 2014"
50,win,Daron Cruickshank:Anthony Njokuani,0:0,42:40,6:0,0:0,Lightweight,U-DEC:,3,5:00,"October 04, 2014"
51,win,Olivier Aubin-Mercier:Jake Lindsey,0:0,31:24,2:1,1:0,Lightweight,SUB:Inverted Triangle,2,3:22,"October 04, 2014"
52,win,Paul Felder:Jason Saggo,0:1,51:29,1:6,0:0,Lightweight,S-DEC:,3,5:00,"October 04, 2014"
53,win,Chris Kelades:Paddy Holohan,0:0,50:26,2:3,1:0,Flyweight,U-DEC:,3,5:00,"October 04, 2014"
54,win,Albert Tumenov:Matt Dwyer,2:0,4:0,0:0,0:0,Welterweight,KO/TKO:Kick,1,1:03,"October 04, 2014"
55,nc:nc,Pedro Munhoz:Jerrod Sanders,0:0,2:1,0:0,1:0,Bantamweight,Overturned:Guillotine Choke,1,0:39,"October 04, 2014"
56,win,Tim Sylvia:Andrei Arlovski,1:1,13:11,0:0,0:0,Heavyweight,KO/TKO:Punch,1,2:43,"April 15, 2006"
57,win,Sean Sherk:Nick Diaz,0:0,39:57,2:1,0:3,Welterweight,U-DEC:,3,5:00,"April 15, 2006"
58,win,Tito Ortiz:Forrest Griffin,0:0,61:58,3:0,0:0,Light Heavyweight,S-DEC:,3,5:00,"April 15, 2006"
59,win,Evan Tanner:Justin Levens,0:0,10:2,1:0,2:1,Middleweight,SUB:Triangle Choke,1,3:14,"April 15, 2006"
60,win,Jeff Monson:Marcio Cruz,0:0,32:40,2:0,0:0,Heavyweight,S-DEC:,3,5:00,"April 15, 2006"
61,win,Karo Parisyan:Nick Thompson,0:0,18:2,2:1,0:0,Welterweight,KO/TKO:Punches,1,4:44,"April 15, 2006"
62,win,David Terrell:Scott Smith,0:0,10:3,1:0,2:0,Middleweight,SUB:Rear Naked Choke,1,3:08,"April 15, 2006"
63,win,Jason Lambert:Terry Martin,0:0,31:15,0:1,0:0,Light Heavyweight,KO/TKO:Punches,2,2:37,"April 15, 2006"
64,win,Thiago Alves:Derrick Noble,1:0,11:18,0:0,0:0,Welterweight,KO/TKO:Punches,1,2:54,"April 15, 2006"
65,win,TJ Dillashaw:Cody Garbrandt,2:0,45:17,0:0,0:0,Bantamweight,KO/TKO:Punches,1,4:10,"August 04, 2018"
66,win,Henry Cejudo:Demetrious Johnson,0:0,51:81,3:1,0:0,Flyweight,S-DEC:,5,5:00,"August 04, 2018"
67,win,Renato Moicano:Cub Swanson,1:0,17:20,1:0,1:0,Featherweight,SUB:Rear Naked Choke,1,4:15,"August 04, 2018"
68,win,JJ Aldrich:Polyana Viana,0:0,40:46,0:1,0:0,Women's Strawweight,U-DEC:,3,5:00,"August 04, 2018"
69,win,Thiago Santos:Kevin Holland,0:0,69:31,3:0,1:1,Middleweight,U-DEC:,3,5:00,"August 04, 2018"
70,win,Pedro Munhoz:Brett Johns,3:0,117:73,0:0,1:0,Bantamweight,U-DEC:,3,5:00,"August 04, 2018"
71,win,Ricky Simon:Montel Jackson,0:0,25:42,7:2,0:0,Bantamweight,U-DEC:,3,5:00,"August 04, 2018"
72,win,Ricardo Ramos:Kyung Ho Kang,0:0,54:65,1:1,1:0,Bantamweight,S-DEC:,3,5:00,"August 04, 2018"
73,win,Sheymon Moraes:Matt Sayles,0:0,73:77,0:0,0:0,Featherweight,U-DEC:,3,5:00,"August 04, 2018"
74,win,Alex Perez:Jose Torres,1:0,84:29,0:0,0:0,Flyweight,KO/TKO:Punches,1,3:46,"August 04, 2018"
75,win,Zhang Weili:Danielle Taylor,0:0,77:34,1:0,0:1,Women's Strawweight,U-DEC:,3,5:00,"August 04, 2018"
76,win,Marlon Vera:Wulijiburen,1:0,45:31,1:2,0:0,Bantamweight,KO/TKO:Punch,2,4:53,"August 04, 2018"
77,win,Colby Covington:Robbie Lawler,0:0,179:78,10:0,0:0,Welterweight,U-DEC:,5,5:00,"August 03, 2019"
78,win,Jim Miller:Clay Guida,0:0,2:2,0:0,1:0,Lightweight,SUB:Guillotine Choke,1,0:58,"August 03, 2019"
79,win,Nasrat Haqparast:Joaquim Silva,1:0,21:15,0:0,0:0,Lightweight,KO/TKO:Punch,2,0:36,"August 03, 2019"
80,win,Gerald Meerschaert:Trevin Giles,0:0,6:8,1:1,1:0,Middleweight,SUB:Guillotine Choke,3,1:49,"August 03, 2019"
81,win,Scott Holtzman:Dong Hyun Ma,1:0,44:16,1:1,0:0,Lightweight,KO/TKO:,2,5:00,"August 03, 2019"
82,win,Kennedy Nzechukwu:Darko Stosic,0:0,50:60,0:4,0:0,Light Heavyweight,U-DEC:,3,5:00,"August 03, 2019"
83,win,Mickey Gall:Salim Touahri,0:0,50:48,1:0,0:0,Welterweight,U-DEC:,3,5:00,"August 03, 2019"
84,win,Antonina Shevchenko:Lucie Pudilova,0:0,16:6,0:1,3:0,Women's Flyweight,SUB:Rear Naked Choke,2,1:20,"August 03, 2019"
85,win,Matt Schnell:Jordan Espinosa,0:0,3:5,0:0,1:0,Flyweight,SUB:Triangle Choke,1,1:23,"August 03, 2019"
86,win,Lauren Murphy:Mara Romero Borella,1:0,24:22,0:1,0:0,Women's Flyweight,KO/TKO:Knee,3,1:46,"August 03, 2019"
87,win,Claudio Silva:Cole Williams,0:0,32:2,1:0,1:0,Welterweight,SUB:Neck Crank,1,2:35,"August 03, 2019"
88,win,Miranda Granger:Hannah Goldy,0:0,61:55,0:0,0:0,Women's Flyweight,U-DEC:,3,5:00,"August 03, 2019"
89,win,Cristiane Justino:Holly Holm,0:0,118:44,0:0,0:0,Women's Featherweight,U-DEC:,5,5:00,"December 30, 2017"
90,win,Khabib Nurmagomedov:Edson Barboza,0:0,89:25,4:0,0:0,Lightweight,U-DEC:,3,5:00,"December 30, 2017"
91,win,Dan Hooker:Marc Diakiese,0:0,17:24,2:0,1:0,Lightweight,SUB:Guillotine Choke,3,0:42,"December 30, 2017"
92,win,Carla Esparza:Cynthia Calvillo,0:0,48:38,2:1,1:0,Women's Strawweight,U-DEC:,3,5:00,"December 30, 2017"
93,win,Neil Magny:Carlos Condit,0:0,32:37,6:0,0:0,Welterweight,U-DEC:,3,5:00,"December 30, 2017"
94,nc:nc,Khalil Rountree Jr.:Michal Oleksiejczuk,0:0,52:76,0:2,1:0,Light Heavyweight,Overturned:,3,5:00,"December 30, 2017"
95,win,Myles Jury:Ricky Glenn,0:0,41:14,2:0,0:0,Featherweight,U-DEC:,3,5:00,"December 30, 2017"
96,draw:draw,Marvin Vettori:Omari Akhmedov,0:0,66:51,0:0,2:0,Middleweight,M-DEC:,3,5:00,"December 30, 2017"
