date,result,method,rounds,fighter,opponent,fight_time,ground_str_lnd_mean_dif,ground_str_att_mean_dif,sig_str%_mean_dif,total_str_lnd_mean_dif,ctrl_mean_dif
2023-11-04,W,Decision - Unanimous,5,Jailton Almeida,Derrick Lewis,25.0,1.6873808616170884,1.6501378773569575,0.885908049921747,0.4202455271423876,1.3004809625983984
2023-11-04,L,Decision - Unanimous,3,Don'Tale Mayes,Rodrigo Nascimento,25.0,0.07989574885189939,0.16359596270832175,0.004482448920888988,0.28960154496939344,0.17392241892725968
2023-11-04,W,Decision - Unanimous,3,Caio Borralho,Abus Magomedo,25.0,1.1197337038235222,0.822658187295318,-1.0125470906954857,0.7669021061442161,2.599778482965778
2023-11-04,W,KO/TKO,3,Elves Brene,Kaynan Kruschewsky,20.02,,,,,
2023-11-04,W,KO/TKO,3,Vitor Petrin,Modestas Bukauskas,5.05,1.7662914530592435,1.409541498107467,0.6825021419984723,0.7600835266988614,2.648596019858194
2023-11-04,W,Decision - Unanimous,3,Angela Hill,Denise Gomes,25.0,-1.1890374715969476,-1.0247782962275527,-1.215952998618761,1.0369178521802587,-0.5057679024209939
2023-11-04,W,KO/TKO,3,Eduarda Moura,Montserrat Conejo Rui,10.23,,,,,
2023-11-04,W,Decision - Split,3,Marc Diakiese,Kaue Fernande,25.0,,,,,
2023-11-04,L,KO/TKO,3,Gabriel Bonfim,Nicolas Dalby,20.55,-0.4470233617457161,-0.4903106251804711,-0.4023293669256608,-1.9763487763108496,-1.0803127596932744
2023-10-21,W,Decision - Unanimous,3,Sedriques Dumas,Abu Azaitar,25.0,0.006076163309238269,-0.0366145957385754,1.2249178964605385,-2.417374494836386,1.1089660101743049
2023-10-21,L,Decision - Unanimous,3,Bruno Silva,Shara Magomedov,25.0,,,,,
2023-10-21,W,Decision - Unanimous,3,Viktoriia Dudakov,Jinh Yu Fre,25.0,0.006076163309238269,-0.06754841592779556,-1.0125470906954854,-1.2230321191880726,-0.8512458558134763
2023-10-21,L,Decision - Unanimous,3,Nathaniel Wood,Muhammad Naimov,25.0,0.09135051212576058,0.31225015417318536,0.5468982033829551,1.9754271270388668,0.8198159839653792
2023-10-21,L,KO/TKO,3,Anshul Jubli,Mike Breeden,15.0,,,,,
2023-10-21,L,Submission,3,Muin Gafurov,Said Nurmagomedo,5.22,-0.39102229685128354,-0.3373600698004381,-1.0125470906954857,1.1555611345294285,0.36543737135135324
2023-10-21,L,Decision - Unanimous,3,Mohammad Yahya,Trevor Pee,25.0,,,,,
2023-10-21,W,Submission,3,Muhammad Mokaev,Tim Elliot,15.05,-0.5628437459592017,-0.7171586399014189,0.2078883568441641,-1.102206891416389,1.3230121334718212
2023-10-21,W,KO/TKO,3,Ikram Aliskero,Warlley Alve,10.12,-0.3121117054091285,-0.30642624961121795,0.6825021419984719,-0.5684484924340304,-0.9225945635793151
2023-10-21,L,Decision - Majority,3,Kamaru Usman,Khamzat Chimaev,25.0,0.19062512716589092,0.08712068501830535,-0.4701313362334188,2.2588072887878043,2.0064576499656455
2023-10-21,L,KO/TKO,5,Alexander Volkanovski,Islam Makhache,15.1,1.4875588800619544,1.5461658706098564,0.004482448920888988,1.932879191299854,-0.40813282863616185
