,url,event_url,date,result,fighter,opponent,title,method,round,time,format,f_fighter,f_kd,f_sig_str,f_sig_str%,f_total_str,f_td,f_td%,f_sub_att,f_rev,f_ctrl,o_fighter,o_kd,o_sig_str,o_sig_str%,o_total_str,o_td,o_td%,o_sub_att,o_rev,o_ctrl,f_head_str,f_body_str,f_leg_str,f_distance_str,f_clinch_str,f_ground_str,o_head_str,o_body_str,o_leg_str,o_distance_str,o_clinch_str,o_ground_str,f_head_str_perc,f_body_str_perc,f_leg_str_perc,f_dist_str_perc,f_clinch_str_perc,f_ground_str_perc,o_head_str_perc,o_body_str_perc,o_leg_str_perc,o_dist_str_perc,o_clinch_str_perc,o_ground_str_perc
0,http://www.ufcstats.com/fight-details/ac37849f627a79c4,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,W,Jailton Almeida,Derrick Lewis,Heavyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jailton Almeida,0,38 of 56,67%,120 of 153,6 of 15,40%,4,1,21:10,Derrick Lewis,0,20 of 39,51%,28 of 54,0 of 2,0%,0,0,0:57,32of48,5of5,1of3,5of7,3of8,30of41,17of33,3of6,0of0,2of10,1of1,17of28,0.84,0.13,0.02,0.13,0.07,0.78,0.85,0.15,0.0,0.1,0.05,0.85
1,http://www.ufcstats.com/fight-details/3a81276a9641c6a1,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,L,Gabriel Bonfim,Nicolas Dalby,Welterweight Bout,KO/TKO,2,4:33,3 Rnd (5-5-5),Gabriel Bonfim,0,39 of 91,42%,47 of 103,3 of 5,60%,1,0,4:19,Nicolas Dalby,1,53 of 113,46%,64 of 128,0 of 1,0%,0,0,1:27,27of77,3of4,9of10,32of71,3of9,4of11,41of96,7of11,5of6,25of76,25of33,3of4,0.69,0.07,0.23,0.82,0.07,0.1,0.77,0.13,0.09,0.47,0.47,0.05
2,http://www.ufcstats.com/fight-details/119bc264e2bb9877,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,W,Rodrigo Nascimento,Don'Tale Mayes,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rodrigo Nascimento,0,70 of 154,45%,91 of 180,0 of 3,0%,0,0,2:21,Don'Tale Mayes,0,79 of 159,49%,105 of 190,0 of 1,0%,0,0,0:39,51of132,9of11,10of11,58of134,12of20,0of0,39of103,30of44,10of12,55of128,24of31,0of0,0.72,0.12,0.14,0.82,0.17,0.0,0.49,0.37,0.12,0.69,0.3,0.0
3,http://www.ufcstats.com/fight-details/7d474fbf31894108,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,W,Caio Borralho,Abus Magomedo,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Caio Borralho,1,51 of 103,49%,70 of 126,0 of 1,0%,0,0,2:17,Abus Magomedov,0,38 of 107,35%,39 of 110,0 of 0,---,0,0,0:00,33of73,11of15,7of15,50of102,0of0,1of1,19of74,14of24,5of9,38of107,0of0,0of0,0.64,0.21,0.13,0.98,0.0,0.01,0.5,0.36,0.13,1.0,0.0,0.0
4,http://www.ufcstats.com/fight-details/ff8f92cf8fb1b76c,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,W,Elves Brene,Kaynan Kruschewsky,Catch Weight Bout,KO/TKO,1,4:01,3 Rnd (5-5-5),Elves Brener,1,16 of 33,48%,16 of 33,0 of 0,---,0,0,0:03,Kaynan Kruschewsky,0,8 of 31,25%,8 of 31,0 of 0,---,0,0,0:00,6of20,2of3,8of10,16of33,0of0,0of0,6of25,2of6,0of0,8of31,0of0,0of0,0.37,0.12,0.5,1.0,0.0,0.0,0.75,0.25,0.0,1.0,0.0,0.0
5,http://www.ufcstats.com/fight-details/b5ea6535748edbce,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,D,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,Welterweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Rinat Fakhretdinov,1,87 of 186,46%,109 of 216,1 of 9,11%,0,1,4:25,Elizeu Zaleski dos Santos,0,75 of 152,49%,115 of 211,0 of 1,0%,1,0,1:24,50of144,11of16,26of26,65of156,7of8,15of22,47of113,17of26,11of13,57of129,2of3,16of20,0.57,0.12,0.29,0.74,0.08,0.17,0.62,0.22,0.14,0.76,0.02,0.21
6,http://www.ufcstats.com/fight-details/6532b71560ae39e0,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,W,Vitor Petrin,Modestas Bukauskas,Light Heavyweight Bout,KO/TKO,2,1:03,3 Rnd (5-5-5),Vitor Petrino,1,8 of 26,30%,14 of 34,1 of 2,50%,0,0,2:18,Modestas Bukauskas,0,9 of 19,47%,12 of 23,0 of 0,---,0,0,0:00,6of23,2of3,0of0,7of21,0of0,1of5,5of14,0of0,4of5,9of19,0of0,0of0,0.75,0.25,0.0,0.87,0.0,0.12,0.55,0.0,0.44,1.0,0.0,0.0
7,http://www.ufcstats.com/fight-details/7df5998eca143c04,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,W,Angela Hill,Denise Gomes,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Angela Hill,0,76 of 120,63%,96 of 153,5 of 9,55%,0,1,8:03,Denise Gomes,0,62 of 133,46%,111 of 203,1 of 3,33%,0,1,1:03,37of76,37of42,2of2,40of68,33of44,3of8,29of91,25of33,8of9,34of97,27of35,1of1,0.48,0.48,0.02,0.52,0.43,0.03,0.46,0.4,0.12,0.54,0.43,0.01
8,http://www.ufcstats.com/fight-details/9e2bb8d5961b44d4,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,W,Eduarda Moura,Montserrat Conejo Rui,Women's Strawweight Bout,KO/TKO,2,2:14,3 Rnd (5-5-5),Eduarda Moura,0,57 of 77,74%,102 of 139,3 of 3,100%,0,0,5:57,Montserrat Conejo Ruiz,0,5 of 22,22%,9 of 29,0 of 0,---,0,0,0:02,55of75,2of2,0of0,5of12,1of1,51of64,0of15,0of2,5of5,5of22,0of0,0of0,0.96,0.03,0.0,0.08,0.01,0.89,0.0,0.0,1.0,1.0,0.0,0.0
9,http://www.ufcstats.com/fight-details/3c69bed42893da75,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,L,Kaue Fernande,Marc Diakiese,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Kaue Fernandes,0,23 of 42,54%,67 of 92,1 of 1,100%,0,0,1:27,Marc Diakiese,0,13 of 32,40%,65 of 92,3 of 8,37%,0,1,8:38,6of20,8of13,9of9,21of38,2of4,0of0,11of26,2of5,0of1,7of18,2of4,4of10,0.26,0.34,0.39,0.91,0.08,0.0,0.84,0.15,0.0,0.53,0.15,0.3
10,http://www.ufcstats.com/fight-details/0ea435ddf02deb60,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,W,Islam Makhache,Alexander Volkanovski,UFC Lightweight Title Bout,KO/TKO,1,3:06,5 Rnd (5-5-5-5-5),Islam Makhachev,1,24 of 29,82%,39 of 46,0 of 1,0%,0,0,0:19,Alexander Volkanovski,0,4 of 6,66%,11 of 18,0 of 0,---,0,0,0:49,13of16,9of11,2of2,7of11,8of9,9of9,0of1,1of1,3of4,3of5,1of1,0of0,0.54,0.37,0.08,0.29,0.33,0.37,0.0,0.25,0.75,0.75,0.25,0.0
11,http://www.ufcstats.com/fight-details/f23e9729b2b73c27,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,L,Kamaru Usman,Khamzat Chimaev,Middleweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Kamaru Usman,0,36 of 66,54%,58 of 92,0 of 1,0%,0,0,0:04,Khamzat Chimaev,0,38 of 70,54%,107 of 143,4 of 12,33%,1,0,7:16,27of52,6of10,3of4,33of63,1of1,2of2,27of53,3of9,8of8,22of53,0of0,16of17,0.75,0.16,0.08,0.91,0.02,0.05,0.71,0.07,0.21,0.57,0.0,0.42
12,http://www.ufcstats.com/fight-details/821960adf5bfa15c,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,NC,Magomed Ankalae,Johnny Walke,Light Heavyweight Bout,Could Not Continue,1,3:13,3 Rnd (5-5-5),Magomed Ankalaev,0,13 of 19,68%,16 of 23,1 of 1,100%,0,0,1:06,Johnny Walker,0,14 of 27,51%,17 of 30,0 of 0,---,0,0,0:00,7of13,3of3,3of3,7of11,1of1,5of7,4of15,1of2,9of10,14of27,0of0,0of0,0.53,0.23,0.23,0.53,0.07,0.38,0.28,0.07,0.64,1.0,0.0,0.0
13,http://www.ufcstats.com/fight-details/7024385b5107bd4b,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,W,Ikram Aliskero,Warlley Alve,Middleweight Bout,KO/TKO,1,2:07,3 Rnd (5-5-5),Ikram Aliskerov,1,26 of 36,72%,26 of 36,0 of 0,---,0,0,0:00,Warlley Alves,0,12 of 16,75%,12 of 16,0 of 0,---,0,0,0:00,20of29,6of6,0of1,26of36,0of0,0of0,3of6,1of1,8of9,12of16,0of0,0of0,0.76,0.23,0.0,1.0,0.0,0.0,0.25,0.08,0.66,1.0,0.0,0.0
14,http://www.ufcstats.com/fight-details/ed3334d108b257a6,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,W,Said Nurmagomedo,Muin Gafurov,Bantamweight Bout,Submission,1,1:13,3 Rnd (5-5-5),Said Nurmagomedov,0,5 of 11,45%,5 of 11,0 of 0,---,1,0,0:03,Muin Gafurov,0,1 of 3,33%,1 of 3,0 of 1,0%,0,0,0:07,2of7,2of2,1of2,5of11,0of0,0of0,0of2,0of0,1of1,1of3,0of0,0of0,0.4,0.4,0.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
15,http://www.ufcstats.com/fight-details/e9256316716499b8,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,L,Tim Elliot,Muhammad Mokaev,Flyweight Bout,Submission,3,3:03,3 Rnd (5-5-5),Tim Elliott,0,30 of 43,69%,71 of 87,1 of 1,100%,2,0,2:23,Muhammad Mokaev,0,14 of 33,42%,118 of 146,3 of 6,50%,1,0,8:24,19of30,10of12,1of1,14of27,8of8,8of8,8of21,3of8,3of4,10of29,1of1,3of3,0.63,0.33,0.03,0.46,0.26,0.26,0.57,0.21,0.21,0.71,0.07,0.21
16,http://www.ufcstats.com/fight-details/3c6fb6bf9b7afd40,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,L,Mohammad Yahya,Trevor Pee,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mohammad Yahya,0,43 of 92,46%,47 of 96,1 of 1,100%,1,0,0:24,Trevor Peek,0,61 of 97,62%,83 of 123,4 of 7,57%,0,0,5:10,28of70,14of21,1of1,41of90,2of2,0of0,32of61,16of23,13of13,50of83,6of9,5of5,0.65,0.32,0.02,0.95,0.04,0.0,0.52,0.26,0.21,0.81,0.09,0.08
17,http://www.ufcstats.com/fight-details/0d1af8c6a5793185,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,NC,Javid Basharat,Victor Henry,Bantamweight Bout,Could Not Continue,2,0:15,3 Rnd (5-5-5),Javid Basharat,0,30 of 43,69%,33 of 46,1 of 4,25%,0,0,0:29,Victor Henry,0,25 of 36,69%,30 of 41,0 of 1,0%,0,0,0:14,8of21,8of8,14of14,26of39,4of4,0of0,3of10,6of6,16of20,23of34,2of2,0of0,0.26,0.26,0.46,0.86,0.13,0.0,0.12,0.24,0.64,0.92,0.08,0.0
18,http://www.ufcstats.com/fight-details/43de9ff6064361e1,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,L,Abu Azaitar,Sedriques Dumas,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Abu Azaitar,0,41 of 106,38%,87 of 153,2 of 4,50%,0,0,0:32,Sedriques Dumas,0,34 of 79,43%,72 of 117,1 of 2,50%,0,0,4:10,21of78,13of18,7of10,31of90,3of6,7of10,11of45,5of11,18of23,31of76,0of0,3of3,0.51,0.31,0.17,0.75,0.07,0.17,0.32,0.14,0.52,0.91,0.0,0.08
19,http://www.ufcstats.com/fight-details/75c5f923f966b53b,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,W,Mike Breeden,Anshul Jubli,Lightweight Bout,KO/TKO,3,3:00,3 Rnd (5-5-5),Mike Breeden,1,92 of 177,51%,94 of 181,0 of 1,0%,0,0,0:01,Anshul Jubli,0,103 of 194,53%,104 of 195,0 of 5,0%,0,0,0:05,75of157,11of13,6of7,89of174,2of2,1of1,63of145,27of36,13of13,97of181,6of13,0of0,0.81,0.11,0.06,0.96,0.02,0.01,0.61,0.26,0.12,0.94,0.05,0.0
20,http://www.ufcstats.com/fight-details/b84c447bb74febe2,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,L,Nathaniel Wood,Muhammad Naimov,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nathaniel Wood,0,50 of 72,69%,70 of 94,2 of 7,28%,0,0,2:44,Muhammad Naimov,0,48 of 81,59%,100 of 140,4 of 9,44%,0,1,6:42,37of57,6of7,7of8,36of56,5of6,9of10,31of60,10of13,7of8,24of48,11of14,13of19,0.74,0.12,0.14,0.72,0.1,0.18,0.64,0.2,0.14,0.5,0.22,0.27
