date,result,fighter,opponent,title,method,fight_time,rounds,f_rev,f_ctrl,f_win_perc,f_win_streak,o_rev,o_ctrl,o_win_perc,o_win_streak,f_td%,f_sig_str%,o_td%,o_sig_str%,f_sub_att,o_sub_att,f_total_str_lnd,f_total_str_att,f_head_str_lnd,f_head_str_att,f_body_str_lnd,f_body_str_att,f_leg_str_lnd,f_leg_str_att,f_distance_str_lnd,f_distance_str_att,f_clinch_str_lnd,f_clinch_str_att,f_ground_str_lnd,f_ground_str_att,o_total_str_lnd,o_total_str_att,o_head_str_lnd,o_head_str_att,o_body_str_lnd,o_body_str_att,o_leg_str_lnd,o_leg_str_att,o_distance_str_lnd,o_distance_str_att,o_clinch_str_lnd,o_clinch_str_att,o_ground_str_lnd,o_ground_str_att
2023-11-04,W,Jailton Almeida,Derrick Lewis,Heavyweight Bout,Decision - Unanimous,25.0,5,1,21.17,1.0,5,0,0.95,0.67,1,0.4,0.67,0.0,0.51,4,0,120,153,32,48,5,5,1,3,5,7,3,8,30,41,28,54,17,33,3,6,0,0,2,10,1,1,17,28
2023-11-04,L,Don'Tale Mayes,Rodrigo Nascimento,Heavyweight Bout,Decision - Unanimous,25.0,3,0,0.65,0.5,1,0,2.35,0.75,2,0.0,0.49,0.0,0.45,0,0,105,190,39,103,30,44,10,12,55,128,24,31,0,0,91,180,51,132,9,11,10,11,58,134,12,20,0,0
2023-11-04,W,Caio Borralho,Abus Magomedo,Middleweight Bout,Decision - Unanimous,25.0,3,0,2.28,1.0,4,0,0.0,0.5,-1,0.0,0.49,,0.35,0,0,70,126,33,73,11,15,7,15,50,102,0,0,1,1,39,110,19,74,14,24,5,9,38,107,0,0,0,0
2023-11-04,W,Elves Brene,Kaynan Kruschewsky,Catch Weight Bout,KO/TKO,20.02,3,0,0.05,1.0,2,0,0.0,0.0,0,,0.48,,0.25,0,0,16,33,6,20,2,3,8,10,16,33,0,0,0,0,8,31,6,25,2,6,0,0,8,31,0,0,0,0
2023-11-04,W,Vitor Petrin,Modestas Bukauskas,Light Heavyweight Bout,KO/TKO,5.05,3,0,2.3,1.0,2,0,0.0,0.5,2,0.5,0.3,,0.47,0,0,14,34,6,23,2,3,0,0,7,21,0,0,1,5,12,23,5,14,0,0,4,5,9,19,0,0,0,0
2023-11-04,W,Angela Hill,Denise Gomes,Women's Strawweight Bout,Decision - Unanimous,25.0,3,1,8.05,0.43,-1,1,1.05,0.67,2,0.55,0.63,0.33,0.46,0,0,96,153,37,76,37,42,2,2,40,68,33,44,3,8,111,203,29,91,25,33,8,9,34,97,27,35,1,1
2023-11-04,W,Eduarda Moura,Montserrat Conejo Rui,Women's Strawweight Bout,KO/TKO,10.23,3,0,5.95,0.0,0,0,0.03,0.33,-2,1.0,0.74,,0.22,0,0,102,139,55,75,2,2,0,0,5,12,1,1,51,64,9,29,0,15,0,2,5,5,5,22,0,0,0,0
2023-11-04,W,Marc Diakiese,Kaue Fernande,Lightweight Bout,Decision - Split,25.0,3,1,8.63,0.5,-2,0,1.45,0.0,0,0.37,0.4,1.0,0.54,0,0,65,92,11,26,2,5,0,1,7,18,2,4,4,10,67,92,6,20,8,13,9,9,21,38,2,4,0,0
2023-11-04,L,Gabriel Bonfim,Nicolas Dalby,Welterweight Bout,KO/TKO,20.55,3,0,4.32,1.0,2,0,1.45,0.67,3,0.6,0.42,0.0,0.46,1,0,47,103,27,77,3,4,9,10,32,71,3,9,4,11,64,128,41,96,7,11,5,6,25,76,25,33,3,4
2023-10-21,W,Sedriques Dumas,Abu Azaitar,Middleweight Bout,Decision - Unanimous,25.0,3,0,4.17,0.5,1,0,0.53,0.5,-1,0.5,0.43,0.5,0.38,0,0,72,117,11,45,5,11,18,23,31,76,0,0,3,3,87,153,21,78,13,18,7,10,31,90,3,6,7,10
